PARLID	PROVINCE	RIDING	DATE	NAME	PARTY	JOB	VOTES	PERC	ELECTED	ELECTIONNUM
1	New Brunswick	ALBERT	1867-08-07	WALLACE, John	Lib	farmer	778	52.14	1	1
0	New Brunswick	ALBERT	1867-08-07	STEVENS, Henry J.	Unknown		714	47.86	0	1
2	New Brunswick	CARLETON	1867-08-07	CONNELL, Charles	Lib	general merchant	-1	100.0	1	1
3	New Brunswick	CHARLOTTE	1867-08-07	BOLTON, John	Lib	businessman	1214	56.94	1	1
0	New Brunswick	CHARLOTTE	1867-08-07	THOMPSON, Robert	Unknown		918	43.06	0	1
4	New Brunswick	CITY AND COUNTY OF ST. JOHN	1867-08-07	GRAY, John H.	Cons.	lawyer	-1	100.0	1	1
5	New Brunswick	CITY OF ST. JOHN	1867-08-07	TILLEY, Samuel Leonard	Lib.-Cons.	druggist	1402	69.68	1	1
0	New Brunswick	CITY OF ST. JOHN	1867-08-07	WILSON, John	Unknown		610	30.32	0	1
6	New Brunswick	GLOUCESTER	1867-08-07	ANGLIN, Timothy Warren	Lib	editor	1061	61.26	1	1
0	New Brunswick	GLOUCESTER	1867-08-07	MEHAN, John	Unknown		671	38.74	0	1
7	New Brunswick	KENT	1867-08-07	RENAUD, Auguste	Lib	farmer	876	41.28	1	1
0	New Brunswick	KENT	1867-08-07	DES BRISAY,	Unknown		757	35.67	0	1
0	New Brunswick	KENT	1867-08-07	MCINERNAY,	Unknown		485	22.86	0	1
8	New Brunswick	KENT	1867-08-07	CUTLER,	Unknown		4	0.19	0	1
9	New Brunswick	KING'S	1867-08-07	RYAN, George	Lib	farmer	1303	54.61	1	1
0	New Brunswick	KING'S	1867-08-07	OTTY,	Unknown		1083	45.39	0	1
10	New Brunswick	NORTHUMBERLAND	1867-08-07	JOHNSON, John M.	Lib	lawyer	1226	61.83	1	1
0	New Brunswick	NORTHUMBERLAND	1867-08-07	GILLESPIE, Thos.F.	Unknown		757	38.17	0	1
11	New Brunswick	QUEEN'S	1867-08-07	FARRIS, John	Lib	lumber merchant	-1	100.0	1	1
12	New Brunswick	RESTIGOUCHE	1867-08-07	MCMILLAN, John	Lib	merchant	370	58.82	1	1
0	New Brunswick	RESTIGOUCHE	1867-08-07	PHILLIPS, John	Unknown		259	41.18	0	1
13	New Brunswick	SUNBURY	1867-08-07	BURPEE, Charles	Lib	farmer	664	60.97	1	1
0	New Brunswick	SUNBURY	1867-08-07	PERLEY, Wm. C.	Unknown		425	39.03	0	1
14	New Brunswick	VICTORIA	1867-08-07	COSTIGAN, John	Lib.-Cons.	judge	778	57.93	1	1
0	New Brunswick	VICTORIA	1867-08-07	BEVERIDGE, Wm. B.	Unknown		549	40.88	0	1
0	New Brunswick	VICTORIA	1867-08-07	WORKMAN, James	Unknown		16	1.19	0	1
0	New Brunswick	VICTORIA	1867-08-07	TIBBETTS, James	Unknown		0	0.0	0	1
15	New Brunswick	WESTMORLAND	1867-08-07	SMITH, Albert James	Lib	lawyer	2207	82.94	1	1
0	New Brunswick	WESTMORLAND	1867-08-07	LANDRY, J.J.D.	Unknown		454	17.06	0	1
16	New Brunswick	YORK	1867-08-07	FISHER, Charles	Lib	lawyer	-1	100.0	1	1
17	Nova Scotia	ANNAPOLIS	1867-08-07	RAY, William H.	A Conf	farmer	1171	53.54	1	1
18	Nova Scotia	ANNAPOLIS	1867-08-07	LONGLEY,	Cons.	merchant	1016	46.46	0	1
19	Nova Scotia	ANTIGONISH	1867-08-07	MCDONALD, Hugh	A Conf	lawyer	1238	76.04	1	1
0	Nova Scotia	ANTIGONISH	1867-08-07	HENRY, Wm. A.	Cons.	lawyer	390	23.96	0	1
20	Nova Scotia	CAPE BRETON	1867-08-07	MCKEAGNEY, James	A Conf	lawyer	-1	100.0	1	1
21	Nova Scotia	COLCHESTER	1867-08-07	MCLELLAN, Archibald Woodbury	A Conf	lumber merchant	1649	56.13	1	1
22	Nova Scotia	COLCHESTER	1867-08-07	ARCHIBALD, A.G.	Lib.-Cons.	lawyer	1289	43.87	0	1
23	Nova Scotia	CUMBERLAND	1867-08-07	TUPPER, Charles	Cons.	physician	1368	51.84	1	1
24	Nova Scotia	CUMBERLAND	1867-08-07	ANNAND, William	A Conf		1271	48.16	0	1
25	Nova Scotia	DIGBY	1867-08-07	SAVARY, Alfred W.	A Conf	lawyer	792	47.97	1	1
0	Nova Scotia	DIGBY	1867-08-07	WADE,	Unknown		497	30.1	0	1
0	Nova Scotia	DIGBY	1867-08-07	MEHAN,	Unknown		362	21.93	0	1
26	Nova Scotia	GUYSBOROUGH	1867-08-07	CAMPBELL, Stewart	A Conf	lawyer	-1	100.0	1	1
27	Nova Scotia	HALIFAX	1867-08-07	JONES, Alfred	Lab	merchant	2381	26.28	1	1
28	Nova Scotia	HALIFAX	1867-08-07	POWERS, Patrick	A Conf	merchant	2367	26.13	1	1
0	Nova Scotia	HALIFAX	1867-08-07	TOBIN, John	Unknown		2158	23.82	0	1
0	Nova Scotia	HALIFAX	1867-08-07	SHANNON, S.L.	Unknown	lawyer	2154	23.77	0	1
29	Nova Scotia	HANTS	1867-08-07	HOWE, Joseph	A Conf	editor	1530	61.54	1	1
0	Nova Scotia	HANTS	1867-08-07	KING, Jas.	Unknown		956	38.46	0	1
30	Nova Scotia	INVERNESS	1867-08-07	CAMERON, Hugh	A Conf	physician	1186	66.37	1	1
31	Nova Scotia	INVERNESS	1867-08-07	MCDONNELL, S.	Cons.	lawyer	601	33.63	0	1
32	Nova Scotia	KINGS	1867-08-07	CHIPMAN, William Henry	A Conf	merchant	1472	69.08	1	1
0	Nova Scotia	KINGS	1867-08-07	COLEMAN,	Unknown		659	30.92	0	1
33	Nova Scotia	LUNENBURG	1867-08-07	MCDONALD, E.M.	A Conf	editor	1557	63.24	1	1
0	Nova Scotia	LUNENBURG	1867-08-07	KAULBACK, Henry Adolphus Newman	Unknown		905	36.76	0	1
34	Nova Scotia	PICTOU	1867-08-07	CARMICHAEL, James W.	A Conf	shipowner	2011	54.89	1	1
35	Nova Scotia	PICTOU	1867-08-07	MCDONALD, J.	Cons.	lawyer	1653	45.11	0	1
36	Nova Scotia	QUEENS	1867-08-07	FORBES, James F.	A Conf	physician	844	75.7	1	1
0	Nova Scotia	QUEENS	1867-08-07	CAMPBELL,	Unknown		271	24.3	0	1
37	Nova Scotia	RICHMOND	1867-08-07	CROKE, William Joseph	A Conf	lawyer	545	66.14	1	1
0	Nova Scotia	RICHMOND	1867-08-07	DONOVAN,	Unknown		279	33.86	0	1
38	Nova Scotia	SHELBURNE	1867-08-07	COFFIN, Thomas	A Conf	merchant	-1	100.0	1	1
39	Nova Scotia	VICTORIA	1867-08-07	ROSS, William	A Conf	commission merchant	-1	100.0	1	1
40	Nova Scotia	YARMOUTH	1867-08-07	KILLAM, Thomas	A Conf	shipowner	1225	64.78	1	1
0	Nova Scotia	YARMOUTH	1867-08-07	BROWN, George S.	Unknown		666	35.22	0	1
41	Ontario	ADDINGTON	1867-08-07	LAPUM, James N.	Cons.	postmaster	1120	52.98	1	1
42	Ontario	ADDINGTON	1867-08-07	SHIBLEY,	Lib.-Cons.	farmer	991	46.88	0	1
0	Ontario	ADDINGTON	1867-08-07	SMITH, Sir Henry	Unknown		2	0.09	0	1
0	Ontario	ADDINGTON	1867-08-07	PRICE,	Unknown		1	0.05	0	1
0	Ontario	ADDINGTON	1867-08-07	CAMERON, D.	Unknown		0	0.0	0	1
0	Ontario	ADDINGTON	1867-08-07	HAM,	Unknown		0	0.0	0	1
0	Ontario	ADDINGTON	1867-08-07	LOTT,	Unknown		0	0.0	0	1
43	Ontario	ALGOMA	1867-08-07	SIMPSON, Wemyss Mackenzie	Cons.	trader	250	47.26	1	1
0	Ontario	ALGOMA	1867-08-07	BEATTY,	Unknown		241	45.56	0	1
0	Ontario	ALGOMA	1867-08-07	MACDONELL,	Unknown		38	7.18	0	1
44	Ontario	BOTHWELL	1867-08-07	MILLS, David	Lib	lawyer	1333	52.13	1	1
45	Ontario	BOTHWELL	1867-08-07	GLASS,	Cons.		1224	47.87	0	1
46	Ontario	BRANT NORTH	1867-08-07	BOWN, John Young	Lib.-Cons.	physician	672	50.07	1	1
0	Ontario	BRANT NORTH	1867-08-07	CLEMENT,	Unknown		670	49.93	0	1
47	Ontario	BRANT SOUTH	1867-08-07	WOOD, Edmund Burke	Lib	lawyer	1257	53.56	1	1
0	Ontario	BRANT SOUTH	1867-08-07	LEEMING,	Unknown		1090	46.44	0	1
48	Ontario	BROCKVILLE	1867-08-07	CRAWFORD, James	Cons.	contractor	690	56.98	1	1
0	Ontario	BROCKVILLE	1867-08-07	CHAMBERS,	Unknown		521	43.02	0	1
49	Ontario	BRUCE NORTH	1867-08-07	SPROAT, Alexander	Cons.	treasurer	862	50.29	1	1
0	Ontario	BRUCE NORTH	1867-08-07	DOUGLAS,	Unknown	physician	852	49.71	0	1
50	Ontario	BRUCE SOUTH	1867-08-07	HURDON, Francis	Cons.	grain merchant	1777	52.17	1	1
0	Ontario	BRUCE SOUTH	1867-08-07	RASTALL,	Unknown		1624	47.68	0	1
0	Ontario	BRUCE SOUTH	1867-08-07	HALL,	Unknown		5	0.15	0	1
51	Ontario	CARDWELL	1867-08-07	FERGUSON, Thomas Roberts	Cons.	merchant	1155	51.72	1	1
0	Ontario	CARDWELL	1867-08-07	PHILIPS,	Unknown	physician	1078	48.28	0	1
52	Ontario	CARLETON	1867-08-07	HOLMES, John	Lib.-Cons.	provincial land surveyor	1087	51.94	1	1
53	Ontario	CARLETON	1867-08-07	ROCHESTER,	Cons.	lumber manufacturer	1006	48.06	0	1
54	Ontario	CORNWALL	1867-08-07	MACDONALD, John Sandfield	Lib	lawyer	451	60.46	1	1
0	Ontario	CORNWALL	1867-08-07	MATTICE,	Unknown		295	39.54	0	1
55	Ontario	DUNDAS	1867-08-07	ROSS, John Sylvester	Lib.-Cons.	mill owner	-1	100.0	1	1
56	Ontario	DURHAM EAST	1867-08-07	BURTON, Francis H.	Cons.	flour miller	1134	71.55	1	1
0	Ontario	DURHAM EAST	1867-08-07	BEAMISH,	Unknown		451	28.45	0	1
57	Ontario	DURHAM WEST	1867-08-07	BLAKE, Edward	Lib	lawyer	1337	58.95	1	1
0	Ontario	DURHAM WEST	1867-08-07	MILNE,	Unknown		931	41.05	0	1
58	Ontario	ELGIN EAST	1867-08-07	DOBBIE, Thomas William	Cons.	land surveyor	1492	51.91	1	1
0	Ontario	ELGIN EAST	1867-08-07	BURWELL,	Unknown		1382	48.09	0	1
59	Ontario	ELGIN WEST	1867-08-07	MUNROE, John H.	Cons.	real estate agent and broker	970	55.88	1	1
0	Ontario	ELGIN WEST	1867-08-07	MCDOUGALL,	Unknown		766	44.12	0	1
60	Ontario	ESSEX	1867-08-07	O'CONNOR, John	Cons.	lawyer	1439	50.12	1	1
0	Ontario	ESSEX	1867-08-07	RANKIN, A.	Unknown		1432	49.88	0	1
61	Ontario	FRONTENAC	1867-08-07	KIRKPATRICK, Thomas	Cons.	lawyer	1242	64.19	1	1
0	Ontario	FRONTENAC	1867-08-07	CARRUTHERS,	Unknown		693	35.81	0	1
62	Ontario	GLENGARRY	1867-08-07	MACDONALD, Donald Alexander	Lib	merchant	-1	100.0	1	1
63	Ontario	GRENVILLE SOUTH	1867-08-07	SHANLY, Walter	Cons.	civil engineer	899	55.19	1	1
0	Ontario	GRENVILLE SOUTH	1867-08-07	PATRICK,	Unknown		730	44.81	0	1
64	Ontario	GREY NORTH	1867-08-07	SNIDER, George	Lib	crown lands agent	1399	55.04	1	1
0	Ontario	GREY NORTH	1867-08-07	BOLTON,	Unknown		1143	44.96	0	1
65	Ontario	GREY SOUTH	1867-08-07	JACKSON, George	Cons.	crown lands agent	1560	50.21	1	1
0	Ontario	GREY SOUTH	1867-08-07	DALGLEISH,	Unknown		1547	49.79	0	1
66	Ontario	HALDIMAND	1867-08-07	THOMPSON, David	Lib	merchant	1391	57.65	1	1
0	Ontario	HALDIMAND	1867-08-07	MCKINNON,	Unknown		1022	42.35	0	1
67	Ontario	HALTON	1867-08-07	WHITE, John	Lib	lumber merchant	1422	52.45	1	1
0	Ontario	HALTON	1867-08-07	CHISHOLM,	Unknown		1289	47.55	0	1
68	Ontario	HAMILTON	1867-08-07	MAGILL, Charles	Lib	dry goods merchant	-1	100.0	1	1
69	Ontario	HASTINGS EAST	1867-08-07	READ, Robert	Cons.	tanner	1110	70.84	1	1
0	Ontario	HASTINGS EAST	1867-08-07	FARLEY,	Unknown		457	29.16	0	1
70	Ontario	HASTINGS NORTH	1867-08-07	BOWELL, Mackenzie	Cons.	editor	928	59.3	1	1
0	Ontario	HASTINGS NORTH	1867-08-07	WALLBRIDGE,	Unknown		636	40.64	0	1
0	Ontario	HASTINGS NORTH	1867-08-07	MCLEAN,	Unknown		1	0.06	0	1
71	Ontario	HASTINGS WEST	1867-08-07	BROWN, James	Cons.	businessman	773	71.18	1	1
0	Ontario	HASTINGS WEST	1867-08-07	HOLDEN,	Unknown	physician	313	28.82	0	1
72	Ontario	HURON NORTH	1867-08-07	WHITEHEAD, Joseph	Lib	railway contractor	1940	49.33	1	1
0	Ontario	HURON NORTH	1867-08-07	HOLMES,	Unknown		1318	33.51	0	1
0	Ontario	HURON NORTH	1867-08-07	SLOAN,	Unknown	physician	675	17.16	0	1
73	Ontario	HURON SOUTH	1867-08-07	CAMERON, Malcolm Collin	Lib	lawyer	1624	52.76	1	1
0	Ontario	HURON SOUTH	1867-08-07	RITCHIE,	Unknown		1453	47.21	0	1
0	Ontario	HURON SOUTH	1867-08-07	SILLS,	Unknown		1	0.03	0	1
74	Ontario	KENT	1867-08-07	STEPHENSON, Rufus	Cons.	editor	1524	51.64	1	1
0	Ontario	KENT	1867-08-07	MCKELLAR,	Unknown		1427	48.36	0	1
75	Ontario	KINGSTON	1867-08-07	MACDONALD, Sir John A., K.	Lib.-Cons.	lawyer	735	83.81	1	1
0	Ontario	KINGSTON	1867-08-07	STEWART, John	Unknown	physician	142	16.19	0	1
76	Ontario	LAMBTON	1867-08-07	MACKENZIE, Alexander	Lib	contractor	1999	60.39	1	1
77	Ontario	LAMBTON	1867-08-07	VIDAL,	Cons.	land surveyor	1311	39.61	0	1
78	Ontario	LANARK NORTH	1867-08-07	MACDOUGALL, William, C.B.	Lib.-Cons.	lawyer	-1	100.0	1	1
79	Ontario	LANARK SOUTH	1867-08-07	MORRIS, Alexander	Cons.	lawyer	-1	100.0	1	1
80	Ontario	LEEDS NORTH AND GRENVILLE NORTH	1867-08-07	JONES, Francis	Cons.	civil engineer	923	51.85	1	1
0	Ontario	LEEDS NORTH AND GRENVILLE NORTH	1867-08-07	MONTGOMERY,	Unknown		857	48.15	0	1
81	Ontario	LEEDS SOUTH	1867-08-07	CRAWFORD, John	Cons.	lawyer	1393	50.53	1	1
82	Ontario	LEEDS SOUTH	1867-08-07	RICHARDS,	Unknown	lawyer	1364	49.47	0	1
83	Ontario	LENNOX	1867-08-07	CARTWRIGHT, Richard John	Cons.	businessman	1268	53.05	1	1
0	Ontario	LENNOX	1867-08-07	GRANGE,	Unknown		1122	46.95	0	1
84	Ontario	LINCOLN	1867-08-07	BENSON, James Rea	Lib.-Cons.	miller	-1	100.0	1	1
85	Ontario	LONDON	1867-08-07	CARLING, John	Lib.-Cons.	brewer	1114	80.72	1	1
0	Ontario	LONDON	1867-08-07	PEACOCK,	Unknown		266	19.28	0	1
86	Ontario	MIDDLESEX EAST	1867-08-07	WILSON, Crowell	Lib.-Cons.	farmer	1896	51.92	1	1
0	Ontario	MIDDLESEX EAST	1867-08-07	MCFIE,	Ind.		1756	48.08	0	1
87	Ontario	MIDDLESEX NORTH	1867-08-07	SCATCHERD, Thomas	Lib	lawyer	1605	64.74	1	1
0	Ontario	MIDDLESEX NORTH	1867-08-07	WATSON,	Unknown		874	35.26	0	1
88	Ontario	MIDDLESEX WEST	1867-08-07	MCDONALD, Angus Peter	Cons.	contractor	1063	50.45	1	1
0	Ontario	MIDDLESEX WEST	1867-08-07	BILLINGTON,	Unknown		1044	49.55	0	1
89	Ontario	MONCK	1867-08-07	MCCALLUM, Lachlin	Lib.-Cons.	shipbuilding contractor	1126	56.38	1	1
0	Ontario	MONCK	1867-08-07	FRASER,	Unknown	physician	871	43.62	0	1
90	Ontario	NIAGARA	1867-08-07	MORRISON, Angus	Cons.	lawyer	300	54.55	1	1
91	Ontario	NIAGARA	1867-08-07	THOMSON,	Unknown		250	45.45	0	1
92	Ontario	NORFOLK NORTH	1867-08-07	WALSH, Aquila	Cons.	civil engineer	1026	50.89	1	1
0	Ontario	NORFOLK NORTH	1867-08-07	DUNCOMBE,	Unknown	physician	990	49.11	0	1
93	Ontario	NORFOLK SOUTH	1867-08-07	LAWSON, Peter	Lib	tanner	1050	52.01	1	1
0	Ontario	NORFOLK SOUTH	1867-08-07	WALKER,	Unknown		969	47.99	0	1
94	Ontario	NORTHUMBERLAND EAST	1867-08-07	KEELER, Joseph	Lib.-Cons.	grain and lumber dealer	1607	66.02	1	1
0	Ontario	NORTHUMBERLAND EAST	1867-08-07	MCKENZIE,	Unknown	lawyer	827	33.98	0	1
0	Ontario	NORTHUMBERLAND EAST	1867-08-07	MEYERS,	Unknown		0	0.0	0	1
95	Ontario	NORTHUMBERLAND WEST	1867-08-07	COCKBURN, James	Cons.	lawyer	-1	100.0	1	1
96	Ontario	ONTARIO NORTH	1867-08-07	THOMPSON, John Auld	Lib	court commissioner	1628	54.45	1	1
97	Ontario	ONTARIO NORTH	1867-08-07	CAMERON, M.C.	Lib	lumber merchant	1362	45.55	0	1
98	Ontario	ONTARIO SOUTH	1867-08-07	GIBBS, Thomas Nicholson	Lib.-Cons.	merchant	1292	51.37	1	1
99	Ontario	ONTARIO SOUTH	1867-08-07	BROWN, Geo.	Unknown		1223	48.63	0	1
100	Ontario	OTTAWA (CITY OF)	1867-08-07	CURRIER, Joseph Merrill	Lib.-Cons.	lumberman	974	96.92	1	1
0	Ontario	OTTAWA (CITY OF)	1867-08-07	GIBB,	Unknown		25	2.49	0	1
0	Ontario	OTTAWA (CITY OF)	1867-08-07	MCGILLIVRAY,	Unknown		5	0.5	0	1
0	Ontario	OTTAWA (CITY OF)	1867-08-07	MARTINEAU,	Unknown		1	0.1	0	1
0	Ontario	OTTAWA (CITY OF)	1867-08-07	DICKINSON,	Unknown		0	0.0	0	1
0	Ontario	OTTAWA (CITY OF)	1867-08-07	THOMPSON,	Unknown		0	0.0	0	1
101	Ontario	OXFORD NORTH	1867-08-07	OLIVER, Thomas	Lib	teacher	-1	100.0	1	1
102	Ontario	OXFORD SOUTH	1867-08-07	BODWELL, Ebenezer Vining	Lib	general merchant	-1	100.0	1	1
103	Ontario	PEEL	1867-08-07	CAMERON, John Hillyard	Cons.	lawyer	1138	51.4	1	1
0	Ontario	PEEL	1867-08-07	BARBER,	Unknown		1076	48.6	0	1
104	Ontario	PERTH NORTH	1867-08-07	REDFORD, James	Lib	lumberman	1515	53.69	1	1
105	Ontario	PERTH NORTH	1867-08-07	DALY,	Lib.-Cons.	contractor	1307	46.31	0	1
0	Ontario	PERTH NORTH	1867-08-07	GREY,	Unknown		0	0.0	0	1
106	Ontario	PERTH SOUTH	1867-08-07	MACFARLANE, Robert	Lib	lawyer	1490	51.68	1	1
0	Ontario	PERTH SOUTH	1867-08-07	GUEST,	Unknown		1393	48.32	0	1
107	Ontario	PETERBOROUGH EAST	1867-08-07	GROVER, Peregrine Maitland	Cons.	farmer	956	59.75	1	1
0	Ontario	PETERBOROUGH EAST	1867-08-07	ANDERSON,	Unknown		644	40.25	0	1
108	Ontario	PETERBOROUGH WEST	1867-08-07	PERRY, Charles	Cons.	lumber dealer	681	51.09	1	1
0	Ontario	PETERBOROUGH WEST	1867-08-07	GORDON,	Unknown		652	48.91	0	1
109	Ontario	PRESCOTT	1867-08-07	HAGAR, Albert	Lib	merchant	1205	90.26	1	1
0	Ontario	PRESCOTT	1867-08-07	HIGGINSON,	Unknown		130	9.74	0	1
110	Ontario	PRINCE EDWARD	1867-08-07	ROSS, Walter	Lib	general merchant	1779	65.38	1	1
111	Ontario	PRINCE EDWARD	1867-08-07	MCCUAIG, J.S.	Cons.	businessman	942	34.62	0	1
112	Ontario	RENFREW NORTH	1867-08-07	RANKIN, John	Cons.	merchant	613	53.77	1	1
113	Ontario	RENFREW NORTH	1867-08-07	MURRAY,	Unknown		527	46.23	0	1
114	Ontario	RENFREW SOUTH	1867-08-07	MCLACHLIN, Daniel	Lib	lumber merchant	-1	100.0	1	1
115	Ontario	RUSSELL	1867-08-07	GRANT, James Alexander	Cons.	physician	1293	65.04	1	1
0	Ontario	RUSSELL	1867-08-07	BELL,	Unknown		695	34.96	0	1
116	Ontario	SIMCOE NORTH	1867-08-07	MCCONKEY, Thomas David	Lib	merchant	-1	100.0	1	1
117	Ontario	SIMCOE SOUTH	1867-08-07	LITTLE, William Carruthers	Lib.-Cons.	farmer	1411	57.22	1	1
0	Ontario	SIMCOE SOUTH	1867-08-07	SAUNDERS,	Unknown		1055	42.78	0	1
118	Ontario	STORMONT	1867-08-07	AULT, Samuel	Lib.-Cons.	warden	955	72.46	1	1
0	Ontario	STORMONT	1867-08-07	SINCLAIR,	Unknown		363	27.54	0	1
119	Ontario	TORONTO EAST	1867-08-07	BEATTY, James	Cons.	merchant	1113	53.15	1	1
0	Ontario	TORONTO EAST	1867-08-07	AIKINS,	Unknown		980	46.8	0	1
0	Ontario	TORONTO EAST	1867-08-07	ALLEN,	Unknown		1	0.05	0	1
120	Ontario	VICTORIA NORTH	1867-08-07	MORRISON, John	Lib	merchant	687	63.03	1	1
121	Ontario	VICTORIA NORTH	1867-08-07	CAMERON,	Unknown		403	36.97	0	1
122	Ontario	VICTORIA SOUTH	1867-08-07	KEMPT, George	Lib	lumber dealer	1001	55.55	1	1
121	Ontario	VICTORIA SOUTH	1867-08-07	CAMERON, H.	Unknown		801	44.45	0	1
123	Ontario	WATERLOO NORTH	1867-08-07	BOWMAN, Isaac Erb	Lib	businessman	-1	100.0	1	1
124	Ontario	WATERLOO SOUTH	1867-08-07	YOUNG, James	Lib	journalist	1324	58.02	1	1
0	Ontario	WATERLOO SOUTH	1867-08-07	COWAN, James	Unknown		958	41.98	0	1
125	Ontario	WELLAND	1867-08-07	STREET, Thomas Clark	Cons.	lawyer	-1	100.0	1	1
126	Ontario	WELLINGTON CENTRE	1867-08-07	PARKER, Thomas Sutherland	Lib	physician	-1	100.0	1	1
127	Ontario	WELLINGTON NORTH	1867-08-07	DREW, George Alexander	Lib.-Cons.	lawyer	1493	54.02	1	1
0	Ontario	WELLINGTON NORTH	1867-08-07	FOLEY,	Unknown	journalist	1271	45.98	0	1
128	Ontario	WELLINGTON SOUTH	1867-08-07	STIRTON, David	Lib	magistrate	963	59.63	1	1
0	Ontario	WELLINGTON SOUTH	1867-08-07	STONE,	Unknown		652	40.37	0	1
129	Ontario	WENTWORTH NORTH	1867-08-07	MCMONIES, James	Lib	merchant, sawmiller	1154	51.36	1	1
0	Ontario	WENTWORTH NORTH	1867-08-07	BROWN,	Unknown		1093	48.64	0	1
130	Ontario	WENTWORTH SOUTH	1867-08-07	RYMAL, Joseph	Lib	farmer	1015	50.67	1	1
131	Ontario	WENTWORTH SOUTH	1867-08-07	ROBERTSON,	Unknown		988	49.33	0	1
132	Ontario	WEST TORONTO	1867-08-07	HARRISON, Robert Alexander	Cons.	lawyer	1477	58.5	1	1
0	Ontario	WEST TORONTO	1867-08-07	MACDONALD,	I Lib	businessman	1048	41.5	0	1
133	Ontario	YORK EAST	1867-08-07	METCALFE, James	Lib	builder	1174	55.61	1	1
0	Ontario	YORK EAST	1867-08-07	MILNE,	Unknown		937	44.39	0	1
134	Ontario	YORK NORTH	1867-08-07	WELLS, James Pearson	Lib	farmer	-1	100.0	1	1
135	Ontario	YORK WEST	1867-08-07	HOWLAND, William Pierce,	Lib.-Cons.	businessman	810	73.17	1	1
0	Ontario	YORK WEST	1867-08-07	HUBERTUS,	Unknown		297	26.83	0	1
136	Ontario	YORK WEST	1867-08-07	BLAIN,	Unknown		0	0.0	0	1
137	Quebec	ARGENTEUIL	1867-08-07	ABBOTT, John Joseph Cal	Lib.-Cons.	lawyer	693	53.8	1	1
0	Quebec	ARGENTEUIL	1867-08-07	HUTCHINS, B.	Unknown		595	46.2	0	1
138	Quebec	BAGOT	1867-08-07	GENDRON, Pierre-Samuel	Cons.	notary	1156	56.53	1	1
0	Quebec	BAGOT	1867-08-07	LAFRAMBOISE, Maurice	Unknown		889	43.47	0	1
139	Quebec	BEAUCE	1867-08-07	POZER, Christian Henry	Lib	lawyer	1180	65.23	1	1
0	Quebec	BEAUCE	1867-08-07	TASCHEREAU,	Unknown		629	34.77	0	1
140	Quebec	BEAUHARNOIS	1867-08-07	CAYLEY, Michael	Cons.	lawyer	724	51.17	1	1
0	Quebec	BEAUHARNOIS	1867-08-07	DENIS,	Unknown		691	48.83	0	1
141	Quebec	BELLECHASSE	1867-08-07	CASAULT, Napoleon	Cons.	lawyer	983	59.43	1	1
0	Quebec	BELLECHASSE	1867-08-07	REMILLARD,	Unknown		671	40.57	0	1
142	Quebec	BERTHIER	1867-08-07	PAQUET, Anselme Homere	Lib	physician	1131	50.81	1	1
0	Quebec	BERTHIER	1867-08-07	TRACHEMONTAGNE,	Unknown		1095	49.19	0	1
143	Quebec	BONAVENTURE	1867-08-07	ROBITAILLE, Theodore	Cons.	physician	1018	69.63	1	1
0	Quebec	BONAVENTURE	1867-08-07	TREMBLAY,	Unknown		444	30.37	0	1
144	Quebec	BROME	1867-08-07	DUNKIN, Christopher	Cons.	lawyer	-1	100.0	1	1
145	Quebec	CHAMBLY	1867-08-07	BENOIT, Bazile	Cons.	farmer	691	56.78	1	1
0	Quebec	CHAMBLY	1867-08-07	DORION, V.P.W.	Unknown		526	43.22	0	1
146	Quebec	CHAMPLAIN	1867-08-07	ROSS, John Jones	Cons.	physician	1449	82.61	1	1
0	Quebec	CHAMPLAIN	1867-08-07	MARTINEAU,	Unknown		305	17.39	0	1
147	Quebec	CHARLEVOIX	1867-08-07	CIMON, Simon-Xavier	Cons.	contractor	999	52.3	1	1
0	Quebec	CHARLEVOIX	1867-08-07	GAGNON,	Unknown		911	47.7	0	1
148	Quebec	CHATEAUGUAY	1867-08-07	HOLTON, Luther Hamilton	Lib	merchant	1013	63.35	1	1
0	Quebec	CHATEAUGUAY	1867-08-07	RAMSAY,	Unknown		586	36.65	0	1
149	Quebec	CHICOUTIMI--SAGUENAY	1867-08-07	TREMBLAY, Pierre Alexis	Lib	editor	-1	100.0	1	1
150	Quebec	COMPTON	1867-08-07	POPE, John Henry	Lib.-Cons.	investor and promoter	-1	100.0	1	1
151	Quebec	DORCHESTER	1867-08-07	LANGEVIN, Hector Louis	Cons.	lawyer	-1	100.0	1	1
152	Quebec	DRUMMOND--ARTHABASKA	1867-08-07	SENECAL, Louis-Adelard	Cons.	financier	1135	50.53	1	1
0	Quebec	DRUMMOND--ARTHABASKA	1867-08-07	HOULE,	Unknown		1111	49.47	0	1
153	Quebec	GASPE	1867-08-07	FORTIN, Peter	Cons.	physician	-1	100.0	1	1
154	Quebec	HOCHELAGA	1867-08-07	DORION, Antoine Aime	Lib	lawyer	1312	50.44	1	1
0	Quebec	HOCHELAGA	1867-08-07	LANOUETTE,	Unknown		1289	49.56	0	1
155	Quebec	HUNTINGDON	1867-08-07	ROSE, John	Lib.-Cons.	lawyer	1280	73.23	1	1
0	Quebec	HUNTINGDON	1867-08-07	KERR, W.H.	Unknown		468	26.77	0	1
156	Quebec	IBERVILLE	1867-08-07	BECHARD, Francois	Lib	farmer	1035	67.25	1	1
