"ID","Name","Date","Elected","CabinetNow","CabinetImportant","CabinetPM","TermsServed","Party","PartyInGovt"
431,"Jack Roy","1978-11-25",0,0,0,0,8,"National",1
438,"Shelton NL","1972-11-25",0,1,0,0,6,"National",1
443,"Scott WJ","1969-11-29",0,1,0,0,5,"National",1
449,"Allen PB","1975-11-29",0,1,0,0,7,"National",0
458,"Murray TT","1963-11-30",0,0,0,0,3,"National",1
478,"Seath DC","1972-11-25",0,1,0,0,6,"National",1
497,"Grieve GG","1969-11-29",0,0,0,0,4,"National",1
510,"Sheat WA","1966-11-26",0,0,0,0,3,"National",1
555,"Brown WH","1969-11-29",0,0,0,0,3,"National",1
558,"Riddiford DJ","1972-11-25",0,0,0,0,4,"National",1
564,"Carter DJ","1975-11-29",0,1,0,0,6,"National",0
581,"Fraser WA","1981-11-28",0,0,0,0,8,"Labour",0
592,"Talboys BE","1981-11-28",0,1,1,0,8,"National",1
604,"Adams Schneider LR","1981-11-28",0,0,0,0,8,"National",1
605,"Douglas WV","1975-11-29",0,0,0,0,5,"Labour",1
608,"Pickering HEL","1972-11-25",0,0,0,0,3,"National",1
618,"Gordon JB","1978-11-25",0,0,0,0,6,"National",1
628,"Rowling WE","1984-07-14",0,0,0,0,8,"Labour",0
636,"Arthur Basil","1987-08-15",0,0,0,0,9,"Labour",1
638,"MacIntyre D","1984-07-14",0,1,0,0,3,"National",1
643,"Bailey RL","1981-11-28",0,0,0,0,7,"Labour",0
646,"Sloane LF","1975-11-29",0,0,0,0,2,"National",0
696,"Amos PA","1978-11-25",0,1,0,0,1,"Labour",0
698,"Lapwood HR","1978-11-25",0,0,0,0,6,"National",1
727,"Blanchfield P","1978-11-25",0,0,0,0,6,"Labour",0
756,"Watene PT","1969-11-29",0,0,0,0,2,"Labour",0
765,"Barclay BG","1981-11-28",0,0,0,0,4,"Labour",0
781,"Moyle CJ","1990-10-27",0,1,0,0,3,"Labour",1
