Riding	Date	Candidate	Party	Votes	Elected
Hauraki	11/27/1946	Neate W	LAB	5077	0
Hauraki	11/30/1949	Sutherland AS	NAT	8510	1
Hauraki	11/30/1949	Peacock P	LAB	4566	0
Hauraki	9/1/1951	Sutherland AS	NAT	8612	1
Hauraki	9/1/1951	Dynes BW	LAB	4144	0
Hauraki	11/13/1954	Kinsella AE	NAT	7531	1
Hauraki	11/13/1954	Dynes BW	LAB	4872	0
Hauraki	11/13/1954	Bacchus GR	SC	1025	0
Hauraki	11/13/1954	Downes PO	I	194	0
Hauraki	11/30/1957	Kinsella AE	NAT	6743	1
Hauraki	11/30/1957	Dynes BW	LAB	5582	0
Hauraki	11/30/1957	Mackey RS	SC	1677	0
Hauraki	11/26/1960	Kinsella AE	NAT	7401	1
Hauraki	11/26/1960	Tucker AC	LAB	4776	0
Hauraki	11/26/1960	Donovan WA	SC	1611	0
Hauraki	11/30/1963	Kinsella AE	NAT	7217	1
Hauraki	11/30/1963	Broad GL	LAB	4344	0
Hauraki	11/30/1963	Mackey RS	SC	1999	0
Hauraki	11/30/1963	Emeny C	LIB	520	0
Hauraki	11/26/1966	Kinsella AE	NAT	6561	1
Hauraki	11/26/1966	Uttinger HJ	LAB	4225	0
Hauraki	11/26/1966	Mackey RS	SC	3316	0
Hauraki	11/29/1969	Schultz LCT	NAT	7620	1
Hauraki	11/29/1969	Jelicich Mrs DC	LAB	5499	0
Hauraki	11/29/1969	Mackey RS	SC	2816	0
Hauraki	11/25/1978	Schultz LCT	NAT	8022	1
Hauraki	11/25/1978	Miller GO	SC	6003	0
Hauraki	11/25/1978	Williams J	LAB	3668	0
Hauraki	11/25/1978	Donoghue MF	V	390	0
Hauraki	11/28/1981	Lee GE	NAT	8996	1
Hauraki	11/28/1981	Miller GO	SC	7209	0
Hauraki	11/28/1981	Jensen CJ	LAB	3636	0
Hauraki	7/14/1984	Lee GE	NAT	9070	1
Hauraki	7/14/1984	Thompson ADT	SC	5638	0
Hauraki	7/14/1984	Taylor GV	LAB	4653	0
Hauraki	7/14/1984	Hepburn PH	NZP	1227	0
Hauraki	7/14/1984	Donald Ms M	V	71	0
Hawkes Bay	11/27/1946	Harker CGE	NAT	7755	1
Hawkes Bay	11/27/1946	Beattie HE	LAB	5741	0
Hawkes Bay	11/30/1949	Harker CGE	NAT	8406	1
Hawkes Bay	11/30/1949	Beattie HE	LAB	4964	0
Hawkes Bay	9/1/1951	Harker CGE	NAT	8494	1
Hawkes Bay	9/1/1951	Lowe A	LAB	4341	0
Hawkes Bay	11/13/1954	Harker CGE	NAT	7459	1
Hawkes Bay	11/13/1954	Stafford A	LAB	4350	0
Hawkes Bay	11/13/1954	Somerville TE	SC	1129	0
Hawkes Bay	11/30/1957	Harker CGE	NAT	7458	1
Hawkes Bay	11/30/1957	Fischer LT	LAB	4600	0
Hawkes Bay	11/30/1957	Owen CJ	SC	897	0
Hawkes Bay	11/26/1960	Harker CGE	NAT	7508	1
Hawkes Bay	11/26/1960	Woolf JG	LAB	3826	0
Hawkes Bay	11/26/1960	Bullock A	SC	1110	0
Hawkes Bay	11/26/1960	Cheer RE	I	263	0
Hawkes Bay	11/30/1963	Harrison JR	NAT	7714	1
Hawkes Bay	11/30/1963	Woolf JG	LAB	4196	0
Hawkes Bay	11/30/1963	Bullock A	SC	1273	0
Hawkes Bay	11/30/1963	Cheer RE	I	249	0
Hawkes Bay	11/26/1966	Harrison JR	NAT	7333	1
Hawkes Bay	11/26/1966	Evans LK	LAB	3418	0
Hawkes Bay	11/26/1966	Bullock A	SC	2255	0
Hawkes Bay	11/29/1969	Harrison JR	NAT	8171	1
Hawkes Bay	11/29/1969	Butcher DJ	LAB	4755	0
Hawkes Bay	11/29/1969	Thew G	SC	1497	0
Hawkes Bay	11/25/1972	Harrison JR	NAT	7600	1
Hawkes Bay	11/25/1972	Butcher DJ	LAB	7000	0
Hawkes Bay	11/25/1972	Crarer M	SC	1029	0
Hawkes Bay	11/25/1972	MacMillan RA	V	398	0
Hawkes Bay	11/25/1972	Cheer RE	LR	114	0
Hawkes Bay	11/25/1972	Frampton AE	ND	98	0
Hawkes Bay	11/29/1975	Harrison JR	NAT	10558	1
Hawkes Bay	11/29/1975	Butcher DJ	LAB	6753	0
Hawkes Bay	11/29/1975	Crarer M	SC	1603	0
Hawkes Bay	11/29/1975	MacMillan RA	V	686	0
Hawkes Bay	11/25/1978	Harrison JR	NAT	8148	1
Hawkes Bay	11/25/1978	Cullen ME	LAB	6240	0
Hawkes Bay	11/25/1978	Ketel JC	SC	2501	0
Hawkes Bay	11/25/1978	Roberts TJ	V	309	0
Hawkes Bay	11/28/1981	Harrison Sir R	NAT	9022	1
Hawkes Bay	11/28/1981	Cullen ME	LAB	6592	0
Hawkes Bay	11/28/1981	Burfield DJ	SC	3722	0
Hawkes Bay	7/14/1984	Sutton WD	LAB	8555	1
Hawkes Bay	7/14/1984	Harrison Sir R	NAT	7581	0
Hawkes Bay	7/14/1984	McHardy H	N2P	3103	0
Hawkes Bay	7/14/1984	Harris AS	SC	639	0
Hawkes Bay	8/15/1987	Sutton WD	LAB	9642	1
Hawkes Bay	8/15/1987	Laws HB	NAT	8783	0
Hawkes Bay	8/15/1987	Gerbault Ms TE	DEM	558	0
Helensville	11/25/1978	Jones DMJ	NAT	7783	1
Helensville	11/25/1978	Elder JA	LAB	6584	0
Helensville	11/25/1978	Lynch CW	SC	4510	0
Helensville	11/25/1978	Worley DAP	V	370	0
Helensville	11/28/1981	Jones DMJ	NAT	8242	1
Helensville	11/28/1981	Elder JA	LAB	8026	0
Helensville	11/28/1981	Howes D	SC	6718	0
Henderson	11/29/1969	Finlay AM	LAB	8635	1
Henderson	11/29/1969	Clarke AH	NAT	5340	0
Henderson	11/29/1969	Rossiter WE	SC	1204	0
Henderson	11/29/1969	Simpkins Mrs MG	WIP	219	0
Henderson	11/25/1972	Finlay AM	LAB	8438	1
Henderson	11/25/1972	MacFarlane RC	NAT	4217	0
Henderson	11/25/1972	Brodeur WJ	SC	1240	0
Henderson	11/25/1972	Inkster LM	ND	117	0
Henderson	11/29/1975	Finlay AM	LAB	7665	1
Henderson	11/29/1975	Adams WA	NAT	7264	0
Henderson	11/29/1975	Glamuzina Ms LW	SC	1572	0
Henderson	11/29/1975	Mowat Ms JL	V	1222	0
Henderson	11/29/1975	Thomson JB	SU	35	0
Heretaunga	11/13/1954	Holloway PN	LAB	9583	1
Heretaunga	11/13/1954	McCready A	NAT	4525	0
Heretaunga	11/13/1954	Tait CW	SC	1029	0
Heretaunga	11/30/1957	Holloway PN	LAB	9382	1
Heretaunga	11/30/1957	McCready A	NAT	4265	0
Heretaunga	11/30/1957	Allan RL	SC	812	0
Heretaunga	11/26/1960	Bailey RL	LAB	8265	1
Heretaunga	11/26/1960	Hampson-Tindale VE	NAT	5689	0
Heretaunga	11/26/1960	Wall AR	SC	1360	0
Heretaunga	11/30/1963	Bailey RL	LAB	8186	1
Heretaunga	11/30/1963	Kimmins RO	NAT	6051	0
Heretaunga	11/30/1963	Lonsich RC	SC	1106	0
Heretaunga	11/26/1966	Bailey RL	LAB	8572	1
Heretaunga	11/26/1966	Ross TA	NAT	5925	0
Heretaunga	11/26/1966	Ritzema BC	SC	2111	0
Heretaunga	11/26/1966	Burgess RL	DUI	138	0
Heretaunga	11/29/1969	Bailey RL	LAB	7773	1
Heretaunga	11/29/1969	Miller RM	NAT	6398	0
Heretaunga	11/29/1969	Ritzema BC	SC	930	0
Heretaunga	11/29/1969	Martin Mrs GM	I	178	0
Heretaunga	11/25/1972	Bailey RL	LAB	8281	1
Heretaunga	11/25/1972	Schnellenberg JW	NAT	5317	0
Heretaunga	11/25/1972	Northcote-BadeMissS	V	698	0
Heretaunga	11/25/1972	Fowlds J	SC	622	0
Heretaunga	11/25/1972	Healy GW	ND	129	0
Heretaunga	11/29/1975	Bailey RL	LAB	8330	1
Heretaunga	11/29/1975	Cameron Ms JG	NAT	7994	0
Heretaunga	11/29/1975	Fowlds J	SC	1129	0
Heretaunga	11/29/1975	Overton JM	V	913	0
Heretaunga	11/25/1978	Bailey RL	LAB	9086	1
Heretaunga	11/25/1978	Ward JW	NAT	6342	0
Heretaunga	11/25/1978	Kelly SK	SC	2110	0
Heretaunga	11/25/1978	Harpham Mrs MMF	V	699	0
Heretaunga	11/28/1981	Jeffries WP	LAB	8872	1
Heretaunga	11/28/1981	Palmer RAJ	NAT	6639	0
Heretaunga	11/28/1981	Rose JE	SC	3094	0
Heretaunga	7/14/1984	Jeffries WP	LAB	10155	1
Heretaunga	7/14/1984	MacFarlane Mrs AJ	NAT	5618	0
Heretaunga	7/14/1984	Spence DM	NZP	3072	0
Heretaunga	7/14/1984	Henderson WVA	SC	597	0
Heretaunga	8/15/1987	Jeffries WP	LAB	10037	1
Heretaunga	8/15/1987	Allen JEA	NAT	7483	0
Heretaunga	8/15/1987	Henderson WVA	DEM	878	0
Hobson	11/27/1946	Smith SW	NAT	8496	1
Hobson	11/27/1946	Hatrick HK	LAB	4916	0
Hobson	11/30/1949	Smith SW	NAT	9280	1
Hobson	11/30/1949	Lane WE	LAB	4212	0
Hobson	9/1/1951	Smith SW	NAT	9035	1
Hobson	9/1/1951	King NJ	LAB	3698	0
Hobson	9/1/1951	Slyfield HD	ICP	248	0
Hobson	11/13/1954	Smith SW	NAT	6281	1
Hobson	11/13/1954	Elvidge CW	SC	3697	0
Hobson	11/13/1954	Henderson Mrs MK	LAB	2859	0
Hobson	11/30/1957	Smith SW	NAT	6887	1
Hobson	11/30/1957	Moyle CJ	LAB	3753	0
Hobson	11/30/1957	Elvidge CW	SC	3152	0
Hobson	11/26/1960	Sloane LF	NAT	6406	1
Hobson	11/26/1960	Cracknell VF	SC	5005	0
Hobson	11/26/1960	Webber GT	LAB	2335	0
Hobson	11/30/1963	Sloane LF	NAT	6207	1
Hobson	11/30/1963	Cracknell VF	SC	6176	0
Hobson	11/30/1963	Srhoj M	LAB	1540	0
Hobson	11/26/1966	Cracknell VF	SC	6791	1
Hobson	11/26/1966	Sloane LF	NAT	6301	0
Hobson	11/26/1966	Srhoj M	LAB	1040	0
Hobson	11/29/1969	Sloane LF	NAT	7493	1
Hobson	11/29/1969	Cracknell VF	SC	6241	0
Hobson	11/29/1969	Mitchell DF	LAB	1990	0
Hobson	11/29/1969	James MA	RDC	47	0
Hobson	11/25/1972	Sloane LF	NAT	7674	1
Hobson	11/25/1972	Manning BHE	SC	4587	0
Hobson	11/25/1972	Hendry RJ	LAB	3350	0
Hobson	11/25/1972	Horsfall CL	ND	126	0
Hobson	11/25/1972	Greig RD	I	99	0
Hobson	11/29/1975	Austin HN	NAT	9559	1
Hobson	11/29/1975	Manning BHE	SC	5458	0
Hobson	11/29/1975	Lange DR	LAB	2703	0
Hobson	11/29/1975	Alspach RW	V	774	0
Hobson	8/15/1987	Meurant AR	NAT	10181	1
Hobson	8/15/1987	Melville IJ	LAB	5183	0
Hobson	8/15/1987	Rawson JG	DEM	1704	0
Horowhenia	11/25/1978	Thompson GWF	NAT	8956	1
Horowhenia	11/25/1978	Eyles AC	LAB	8212	0
Horowhenia	11/25/1978	Blanchard RA	SC	3231	0
Horowhenia	11/25/1978	Moore Mrs RA	V	346	0
Horowhenia	11/25/1978	Rodley CJ	RL	150	0
Horowhenia	11/28/1981	Thompson GWF	NAT	9825	1
Horowhenia	11/28/1981	Page DG	LAB	8949	0
Horowhenia	11/28/1981	Smith Ms RM	SC	2830	0
Horowhenia	11/28/1981	Hager BM	V	165	0
Horowhenia	7/14/1984	King Mrs AF	LAB	10401	1
Horowhenia	7/14/1984	Thompson GWF	NAT	9954	0
Horowhenia	7/14/1984	Wiggins GH	NZP	1772	0
Horowhenia	7/14/1984	Holden WR	SC	985	0
Horowhenia	8/15/1987	King Mrs AF	LAB	10822	1
Horowhenia	8/15/1987	Thompson GWF	NAT	9272	0
Horowhenia	8/15/1987	Holden WR	DEM	940	0
Hunua	11/25/1978	Peters WR	NAT	7507	1
Hunua	11/25/1978	Douglas M	LAB	7315	0
Hunua	11/25/1978	Morell GC	SC	2346	0
Hunua	11/25/1978	Robinson BP	V	268	0
Hunua	11/28/1981	Moyle CJ	LAB	9343	1
Hunua	11/28/1981	Peters WR	NAT	8347	0
Hunua	11/28/1981	Morell GC	SC	3519	0
Hunua	11/28/1981	Sampson IR	IN	96	0
Hurunui	11/27/1946	Gillespie WH	NAT	7121	1
Hurunui	11/27/1946	Mathison J	LAB	5681	0
Hurunui	11/30/1949	Gillespie WH	NAT	7952	1
Hurunui	11/30/1949	Smith AJ	LAB	5417	0
Hurunui	9/1/1951	Gillespie WH	NAT	8086	1
Hurunui	9/1/1951	Cassidy WE	LAB	5165	0
Hurunui	11/13/1954	Gillespie WH	NAT	6454	1
Hurunui	11/13/1954	Kirk NE	LAB	4059	0
Hurunui	11/13/1954	Cate WL	SC	1829	0
Hurunui	11/30/1957	Gillespie WH	NAT	7614	1
Hurunui	11/30/1957	Christie L	LAB	5865	0
Hurunui	11/30/1957	Cate WL	SC	1057	0
Hurunui	11/26/1960	Gillespie WH	NAT	8307	1
Hurunui	11/26/1960	Adcock AA	LAB	5576	0
Hurunui	11/26/1960	Clark J	SC	1180	0
Hurunui	6/10/1961	Pickering HEL	NAT	6644	1
Hurunui	6/10/1961	Adcock AA	LAB	4760	0
Hurunui	6/10/1961	Clark J	SC	1153	0
Hutt	11/27/1946	Nash W	LAB	8025	1
Hutt	11/27/1946	Vogel EF	NAT	5438	0
Hutt	11/27/1946	Laing G	IL	163	0
Hutt	11/27/1946	Simpson TF	US	50	0
Hutt	11/30/1949	Nash W	LAB	8153	1
Hutt	11/30/1949	Heatley HL	NAT	5880	0
Hutt	11/30/1949	Simpson TF	RS	100	0
Hutt	9/1/1951	Nash W	LAB	8872	1
Hutt	9/1/1951	Andrews JW	NAT	6424	0
Hutt	9/1/1951	Simpson TF	WCL	71	0
Hutt	11/13/1954	Nash W	LAB	8371	1
Hutt	11/13/1954	Costello CG	NAT	4690	0
Hutt	11/13/1954	Maddison TO	SC	829	0
Hutt	11/30/1957	Nash W	LAB	8975	1
Hutt	11/30/1957	Adams-Scheider LR	NAT	4545	0
Hutt	11/30/1957	Milne DS	SC	808	0
Hutt	11/26/1960	Nash W	LAB	7614	1
Hutt	11/26/1960	Barker GL	NAT	5265	0
Hutt	11/26/1960	Milne DS	SC	997	0
Hutt	11/26/1960	Wain G	I	115	0
Hutt	11/26/1960	Hegman RG	C	40	0
Hutt	11/30/1963	Nash W	LAB	8865	1
Hutt	11/30/1963	Hampson-Tindale VE	NAT	5217	0
Hutt	11/30/1963	Milne DS	SC	973	0
Hutt	11/30/1963	Hunes R	C	70	0
Hutt	11/26/1966	Nash Sir Walter	LAB	7861	1
Hutt	11/26/1966	Kennedy-Good J	NAT	5912	0
Hutt	11/26/1966	Dalglish Mrs CB	SC	1431	0
Hutt	8/3/1968	Young TJ	LAB	5968	1
Hutt	8/3/1968	Kennedy-Good J	NAT	4576	0
Hutt	8/3/1968	Weal TK	SC	1649	0
Hutt	8/3/1968	Ursin NG	I	295	0
Hutt	11/29/1969	Young TJ	LAB	8861	1
Hutt	11/29/1969	Lee D	NAT	7086	0
Hutt	11/29/1969	Constable G	SC	637	0
Hutt	11/29/1969	Ursin NG	I	162	0
Hutt	11/25/1972	Young TJ	LAB	10516	1
Hutt	11/25/1972	Fowler EMC	NAT	7119	0
Hutt	11/25/1972	Harvey Mrs APM	SC	719	0
Hutt	11/25/1972	Overton JM	V	595	0
Hutt	11/25/1972	Hurren KG	ND	67	0
Hutt	11/29/1975	Young TJ	LAB	9540	1
Hutt	11/29/1975	Newell BR	NAT	8521	0
Hutt	11/29/1975	Riches NK	SC	985	0
Hutt	11/29/1975	Irik PJ	V	785	0
Invercargill	11/27/1946	Hanan JR	NAT	7315	1
Invercargill	11/27/1946	Denham WMC	LAB	7091	0
Invercargill	11/30/1949	Hanan JR	NAT	7897	1
Invercargill	11/30/1949	Denham WMC	LAB	6738	0
Invercargill	9/1/1951	Hanan JR	NAT	8208	1
Invercargill	9/1/1951	Spurdle FG	LAB	6085	0
Invercargill	11/13/1954	Hanan JR	NAT	6020	1
Invercargill	11/13/1954	Denham WMC	LAB	5077	0
Invercargill	11/13/1954	Russell LG	SC	2657	0
Invercargill	11/30/1957	Hanan JR	NAT	7577	1
Invercargill	11/30/1957	Doyle TF	LAB	6898	0
Invercargill	11/30/1957	Russell LG	SC	673	0
Invercargill	11/26/1960	Hanan JR	NAT	8128	1
Invercargill	11/26/1960	Henderson OJ	LAB	6202	0
Invercargill	11/26/1960	Steele DL	SC	624	0
Invercargill	11/30/1963	Hanan JR	NAT	7879	1
Invercargill	11/30/1963	Henderson OJ	LAB	5945	0
Invercargill	11/30/1963	Hutton-Potts RM	LIB	1064	0
Invercargill	11/30/1963	Steele DL	SC	815	0
Invercargill	11/26/1966	Hanan JR	NAT	7626	1
Invercargill	11/26/1966	Valentine LN	LAB	5230	0
Invercargill	11/26/1966	Steele DL	SC	2611	0
Invercargill	11/29/1969	Chewings JG	NAT	7699	1
Invercargill	11/29/1969	Young TD	LAB	6668	0
Invercargill	11/29/1969	Steele DL	SC	1728	0
Invercargill	11/25/1972	Munro JB	LAB	8125	1
Invercargill	11/25/1972	Chewings JG	NAT	7360	0
Invercargill	11/25/1972	Patterson ML	SC	855	0
Invercargill	11/25/1972	Manson WF	DIL	251	0
Invercargill	11/25/1972	Le Page HWI	LR	60	0
Invercargill	11/25/1972	Murphy Mrs J	ND	39	0
Invercargill	11/29/1975	Jones NPH	NAT	9713	1
Invercargill	11/29/1975	Munro JB	LAB	7180	0
Invercargill	11/29/1975	Green NG	SC	1045	0
Invercargill	11/29/1975	Blair MJ	V	533	0
Invercargill	11/25/1978	Jones NPH	NAT	8666	1
Invercargill	11/25/1978	Begg AW	LAB	8410	0
Invercargill	11/25/1978	Radich MJ	SC	2760	0
Invercargill	11/25/1978	Thomson RJ	V	175	0
Invercargill	11/28/1981	Jones NPH	NAT	9350	1
Invercargill	11/28/1981	Soper DEH	LAB	7758	0
Invercargill	11/28/1981	Radich MJ	SC	3382	0
Invercargill	7/14/1984	Jones NPH	NAT	9805	1
Invercargill	7/14/1984	Soper DEH	LAB	8526	0
Invercargill	7/14/1984	Coughlan MH	NZP	1721	0
Invercargill	7/14/1984	Radich MJ	SC	801	0
Invercargill	7/14/1984	Gilbert GJ	I	56	0
Invercargill	8/15/1987	Munro RJS	NAT	10115	1
Invercargill	8/15/1987	Soper DEH	LAB	9563	0
Invercargill	8/15/1987	Treweek Ms CA	DEM	1083	0
Island Bay	11/27/1946	McKeen R	LAB	8290	1
Island Bay	11/27/1946	Childs HE	NAT	4332	0
Island Bay	11/27/1946	Berg BK	C	345	0
Island Bay	11/30/1949	McKeen R	LAB	7335	1
Island Bay	11/30/1949	Childs HE	NAT	4565	0
Island Bay	11/30/1949	Smith RJ	C	184	0
Island Bay	9/1/1951	McKeen R	LAB	6735	1
Island Bay	9/1/1951	Duncan JE	NAT	5055	0
Island Bay	9/1/1951	Birchfield Mrs C	C	99	0
Island Bay	11/13/1954	Nordmeyer AH	LAB	8594	1
Island Bay	11/13/1954	Whitta JM	NAT	4670	0
Island Bay	11/13/1954	Gardiner DJF	SC	821	0
Island Bay	11/13/1954	Smith RJ	C	120	0
Island Bay	11/30/1957	Nordmeyer AH	LAB	9368	1
Island Bay	11/30/1957	Goldsmith AS	NAT	5159	0
Island Bay	11/30/1957	Elliott EB	SC	683	0
Island Bay	11/30/1957	Nunes R	C	105	0
Island Bay	11/26/1960	Nordmeyer AH	LAB	7459	1
Island Bay	11/26/1960	Curry FF	NAT	5668	0
Island Bay	11/26/1960	Cameron JA	SC	748	0
Island Bay	11/26/1960	Smith RJ	c	128	0
Island Bay	11/30/1963	Nordmeyer AH	LAB	8372	1
Island Bay	11/30/1963	Curry FF	NAT	5984	0
Island Bay	11/30/1963	Cameron JA	SC	711	0
Island Bay	11/30/1963	Smith RJ	C	164	0
Island Bay	11/26/1966	Nordmeyer AH	LAB	7267	1
Island Bay	11/26/1966	Goldsmith AS	NAT	4461	0
Island Bay	11/26/1966	Marshall KA	SC	1487	0
Island Bay	11/26/1966	Cameron JA	DUI	174	0
Island Bay	11/26/1966	Smith RJ	C	139	0
Island Bay	11/29/1969	O'Brien JG	LAB	7374	1
Island Bay	11/29/1969	Curry FF	NAT	6026	0
Island Bay	11/29/1969	Whitmill CJ	SC	633	0
Island Bay	11/29/1969	Lambert Miss FT	ASAI	598	0
Island Bay	11/25/1972	O'Brien JG	LAB	8352	1
Island Bay	11/25/1972	Farland BH	NAT	4857	0
Island Bay	11/25/1972	Brunt AJ	V	1148	0
Island Bay	11/25/1972	Whitmill CJ	SC	559	0
Island Bay	11/25/1972	McMillan DM	ND	95	0
Island Bay	11/25/1972	Moncur FW	IN	45	0
Island Bay	11/29/1975	O'Brien JG	LAB	7964	1
Island Bay	11/29/1975	Nathan WC	NAT	6690	0
Island Bay	11/29/1975	Rutherford PC	V	1065	0
Island Bay	11/29/1975	McLean TB	SC	675	0
Island Bay	11/29/1975	Goodger Ms VK	SA	44	0
Island Bay	11/29/1975	Megget RC	F	29	0
Island Bay	11/29/1975	Moncur FW	IN	26	0
Island Bay	11/25/1978	O'Flynn FD	LAB	6524	1
Island Bay	11/25/1978	Nathan WC	NAT	5874	0
Island Bay	11/25/1978	O'Brien JG	ILIB	3632	0
Island Bay	11/25/1978	Smith Mrs RM	SC	1502	0
Island Bay	11/25/1978	Good Mrs RVA	V	751	0
Island Bay	11/25/1978	Bailey JC	NC	65	0
Island Bay	11/25/1978	Starkey PE	SA	33	0
Island Bay	11/25/1978	Catford AE	T	21	0
Island Bay	11/25/1978	Moncur FW	IN	12	0
Island Bay	11/25/1978	Williamson RA	INC	11	0
Island Bay	11/28/1981	O'Flynn FD	LAB	9723	1
Island Bay	11/28/1981	Catley DH	NAT	5785	0
Island Bay	11/28/1981	England RW	SC	2747	0
Island Bay	11/28/1981	Moncur FW	PE	120	0
Island Bay	7/14/1984	O'Flynn FD	LAB	10495	1
Island Bay	7/14/1984	Kananghinis J	NAT	4488	0
Island Bay	7/14/1984	Button PT	N2P	4048	0
Island Bay	7/14/1984	Douche WP	SC	477	0
Island Bay	7/14/1984	Symondson B	V	220	0
Island Bay	7/14/1984	Maung Maung W	I	89	0
Island Bay	8/15/1987	Tennet Ms PE	LAB	12439	1
Island Bay	8/15/1987	Clarke Ms SS	NAT	5126	0
Island Bay	8/15/1987	Low Ms EH	DEM	503	0
Island Bay	8/15/1987	Bartram IR	I	413	0
Island Bay	8/15/1987	Ellis CJ	PLP	408	0
Island Bay	8/15/1987	Julian Ms KJ	MS	214	0
Island Bay	8/15/1987	Parker GT	NZP	121	0
Island Bay	8/15/1987	Quinn KJ	IBC	109	0
Kaimai	11/25/1978	Townshend CB	NAT	8457	1
Kaimai	11/25/1978	Conway DJF	SC	4981	0
Kaimai	11/25/1978	Uttinger HJ	LAB	4521	0
Kaimai	11/25/1978	Mayson JI	V	540	0
Kaimai	11/28/1981	Townshend CB	NAT	10719	1
Kaimai	11/28/1981	Conway DJF	SC	5573	0
Kaimai	11/28/1981	Mangos LP	LAB	4750	0
Kaimai	11/28/1981	Mayson JI	V	278	0
Kaimai	11/28/1981	Watt CB	I	79	0
Kaimai	7/14/1984	Townshend CB	NAT	9242	1
Kaimai	7/14/1984	Dickson LJB	NZP	5546	0
Kaimai	7/14/1984	Tucker MA	LAB	5355	0
Kaimai	7/14/1984	Haines VC	SC	1422	0
Kaimai	7/14/1984	Corbett Mrs C	V	137	0
Kaimai	8/15/1987	Anderson RA	NAT	10791	1
Kaimai	8/15/1987	Uttinger HJ	LAB	7118	0
Kaimai	8/15/1987	Powell TA	DEM	887	0
Kaimai	8/15/1987	Townsend WW	NZP	577	0
Kaipara	11/25/1978	Wilkinson PI	NAT	8234	1
Kaipara	11/25/1978	McConachy NC	SC	7714	0
Kaipara	11/25/1978	Hughes HR	LAB	1422	0
Kaipara	11/25/1978	Merwood BH	V	336	0
Kaipara	11/25/1978	Tindal A	I	17	0
Kaipara	11/28/1981	Wilkinson PI	NAT	9515	1
Kaipara	11/28/1981	McConachy NC	SC	8486	0
Kaipara	11/28/1981	Sotheran Ms SM	LAB	1417	0
Kaipara	11/28/1981	Merwood BH	V	103	0
Kaipara	7/14/1984	Smith AL	NAT	9946	1
Kaipara	7/14/1984	Campbell WJ	SC	4382	0
Kaipara	7/14/1984	Hall KA	LAB	3217	0
Kaipara	7/14/1984	Hughes RW	NZP	2595	0
Kaipara	7/14/1984	Corker C	NZWP	100	0
Kaipara	8/15/1987	Smith AL	NAT	11364	1
Kaipara	8/15/1987	Hutchings Ms IA	LAB	5567	0
Kaipara	8/15/1987	Peterson JN	DEM	1150	0
Kaipara	8/15/1987	Merwood BH	V	224	0
Kaipara	8/15/1987	Gosling AM	NZP	151	0
Kapiti	11/25/1972	O'Flynn FD	LAB	8161	1
Kapiti	11/25/1972	Brill BE	NAT	7455	0
Kapiti	11/25/1972	Arnott JH	SC	732	0
Kapiti	11/25/1972	Beaufort Mrs J	V	363	0
Kapiti	11/25/1972	Vincent JR	ND	62	0
Kapiti	11/29/1975	Brill BE	NAT	11068	1
Kapiti	11/29/1975	O'Flynn FD	LAB	8846	0
Kapiti	11/29/1975	Collins RJ	SC	1285	0
Kapiti	11/29/1975	Beaufort Mrs J	V	881	0
Kapiti	11/25/1978	Brill BE	NAT	8211	1
Kapiti	11/25/1978	Shields Mrs MK	LAB	8188	0
Kapiti	11/25/1978	Collins RJ	SC	2345	0
Kapiti	11/25/1978	Harvard Mrs VM	V	305	0
Kapiti	11/28/1981	Shields Mrs MK	LAB	9491	1
Kapiti	11/28/1981	Brill BE	NAT	8996	0
Kapiti	11/28/1981	Briggs DR	SC	2861	0
Kapiti	7/14/1984	Shields Mrs MK	LAB	11098	1
Kapiti	7/14/1984	Oakley Mrs IJ	NAT	6584	0
Kapiti	7/14/1984	Harris RB	NZP	3712	0
Kapiti	7/14/1984	Manning LF	SC	632	0
Kapiti	8/15/1987	Shields Mrs MK	LAB	11854	1
Kapiti	8/15/1987	Sowry RM	NAT	9094	0
Kapiti	8/15/1987	Carpenter RE	DEM	656	0
Kapiti	8/15/1987	Gunn Ms PC	MS	143	0
Karori	11/27/1946	Bowden CM	NAT	7776	1
Karori	11/27/1946	McGavin PCP	LAB	5734	0
Karori	11/30/1949	Bowden CM	NAT	8367	1
Karori	11/30/1949	Harris Mrs E	LAB	4782	0
Karori	9/1/1951	Bowden CM	NAT	8128	1
Karori	9/1/1951	Bateman JA	LAB	4675	0
Karori	11/13/1954	Marshall JR	NAT	8317	1
Karori	11/13/1954	Bateman JA	LAB	6506	0
Karori	11/13/1954	McLaren RD	SC	778	0
Karori	11/30/1957	Marshall JR	NAT	9481	1
Karori	11/30/1957	Spry SK	LAB	6420	0
Karori	11/30/1957	Daniel BT	SC	555	0
Karori	11/30/1957	Simpson TF	I CON	75	0
Karori	11/26/1960	Marshall JR	NAT	9841	1
Karori	11/26/1960	Smuts-KennedyMrsOE	LAB	5528	0
Karori	11/26/1960	Wild Mrs DEC	SC	505	0
Karori	11/30/1963	Marshall JR	NAT	10312	1
Karori	11/30/1963	Spry SK	LAB	6292	0
Karori	11/30/1963	Daniel BT	SC	677	0
Karori	11/26/1966	Marshall JR	NAT	10961	1
Karori	11/26/1966	Blizard PJ	LAB	5691	0
Karori	11/26/1966	Dickson SL	SC	1798	0
Karori	11/29/1969	Marshall JR	NAT	11320	1
Karori	11/29/1969	Tombs RC	LAB	5094	0
Karori	11/29/1969	England RW	SC	828	0
Karori	11/25/1972	Marshall JR	NAT	9825	1
Karori	11/25/1972	Floyd A	LAB	5417	0
