"ID","Name","Party","Date","Electorate","Incumbent","TermsServed","CabinetNow","CabinetEver","CabinetImportant","CabinetPM","Votes","Elected","ElectedList","ElectedElectorate","LastVotes","ListPosition","LastListPosition"
59,"McKeen R","Labour","1946-11-27","Island Bay",1,7,0,0,0,0,8290,1,0,1,0,0,0
60,"Childs HE","National","1946-11-27","Island Bay",0,0,0,0,0,0,4332,0,0,0,0,0,0
61,"Berg BK","C","1946-11-27","Island Bay",0,0,0,0,0,0,345,0,0,0,0,0,0
62,"Bowden CM","National","1946-11-27","Karori",1,1,0,0,0,0,7776,1,0,1,0,0,0
63,"McGavin PCP","Labour","1946-11-27","Karori",0,0,0,0,0,0,5734,0,0,0,0,0,0
64,"McCombs TH","Labour","1946-11-27","Lyttelton",1,4,0,0,0,0,7862,1,0,1,0,0,0
65,"Taylor EBE","National","1946-11-27","Lyttelton",0,0,0,0,0,0,6319,0,0,0,0,0,0
66,"Oram MH","National","1946-11-27","Manawatu",1,1,0,0,0,0,7562,1,0,1,0,0,0
67,"Holloway PN","Labour","1946-11-27","Manawatu",0,0,0,0,0,0,5095,0,0,0,0,0,0
68,"Shand TP","National","1946-11-27","Marlborough",0,0,0,0,0,0,6935,1,0,1,0,0,0
69,"Meachen EP","Labour","1946-11-27","Marlborough",1,3,0,0,0,0,6756,0,0,0,0,0,0
70,"Murdoch AJ","National","1946-11-27","Marsden",1,1,0,0,0,0,7851,1,0,1,0,0,0
71,"Stewart JS","Labour","1946-11-27","Marsden",0,0,0,0,0,0,5702,0,0,0,0,0,0
72,"Semple R","Labour","1946-11-27","Miramar",1,5,1,1,0,0,8064,1,0,1,0,0,0
73,"Jacobsen LT","National","1946-11-27","Miramar",0,0,0,0,0,0,5582,0,0,0,0,0,0
74,"Hudson WA","Labour","1946-11-27","Mornington",0,0,0,0,0,0,9372,1,0,1,0,0,0
75,"Mclver LD","National","1946-11-27","Mornington",0,0,0,0,0,0,4691,0,0,0,0,0,0
76,"Marshall JR","National","1946-11-27","Mount Victoria",0,0,0,0,0,0,6520,1,0,1,0,0,0
77,"Casey E","Labour","1946-11-27","Mount Victoria",0,0,0,0,0,0,5609,0,0,0,0,0,0
78,"Parry JTLH","I PL","1946-11-27","Mount Victoria",0,0,0,0,0,0,152,0,0,0,0,0,0
79,"Richards AS","Labour","1946-11-27","Mt Albert",1,4,0,0,0,0,7681,1,0,1,0,0,0
80,"Hosking FA","National","1946-11-27","Mt Albert",0,0,0,0,0,0,5824,0,0,0,0,0,0
81,"Armstrong AE","Labour","1946-11-27","Napier",1,1,0,0,0,0,7789,1,0,1,0,0,0
82,"Price AJ","National","1946-11-27","Napier",0,0,0,0,0,0,5944,0,0,0,0,0,0
83,"Neale ER","National","1946-11-27","Nelson",0,0,0,0,0,0,7265,1,0,1,0,0,0
84,"Goodman CH","Labour","1946-11-27","Nelson",0,0,0,0,0,0,6630,0,0,0,0,0,0
85,"Aderman EP","National","1946-11-27","New Plymouth",1,1,0,0,0,0,7426,1,0,1,0,0,0
86,"Nimmo G","Labour","1946-11-27","New Plymouth",0,0,0,0,0,0,7021,0,0,0,0,0,0
87,"Finlay AM","Labour","1946-11-27","North Shore",0,0,0,0,0,0,7015,1,0,1,0,0,0
88,"Morton HT","National","1946-11-27","North Shore",1,1,0,0,0,0,6776,0,0,0,0,0,0
89,"Paikea TP","Labour","1946-11-27","Northern Maori",1,1,0,0,0,0,5580,1,0,1,0,0,0
90,"Henare JT","National","1946-11-27","Northern Maori",0,0,0,0,0,0,3025,0,0,0,0,0,0
91,"Paka LW","IL","1946-11-27","Northern Maori",0,0,0,0,0,0,764,0,0,0,0,0,0
92,"Nordmeyer AH","Labour","1946-11-27","Oamaru",1,3,1,1,1,0,7079,1,0,1,0,0,0
93,"Beatty TR","National","1946-11-27","Oamaru",0,0,0,0,0,0,6847,0,0,0,0,0,0
94,"Cuttriss GP","IND LIB","1946-11-27","Oamaru",0,0,0,0,0,0,53,0,0,0,0,0,0
95,"Osborne AG","Labour","1946-11-27","Onehunga",1,3,0,0,0,0,8639,1,0,1,0,0,0
96,"King WK","National","1946-11-27","Onehunga",0,0,0,0,0,0,5215,0,0,0,0,0,0
97,"Combs HE","Labour","1946-11-27","Onslow",1,2,0,0,0,0,7880,1,0,1,0,0,0
98,"Lynch PP","National","1946-11-27","Onslow",0,0,0,0,0,0,6302,0,0,0,0,0,0
99,"Bodkin WA","National","1946-11-27","Otago",1,6,0,0,0,0,7874,1,0,1,0,0,0
100,"Capell C","Labour","1946-11-27","Otago",0,0,0,0,0,0,4965,0,0,0,0,0,0
101,"Petrie CR","Labour","1946-11-27","Otahuhu",1,3,0,0,0,0,6957,1,0,1,0,0,0
102,"Murdoch A","National","1946-11-27","Otahuhu",0,0,0,0,0,0,6737,0,0,0,0,0,0
103,"Maher JJ","National","1946-11-27","Otaki",0,0,0,0,0,0,6762,1,0,1,0,0,0
104,"Thorn J","Labour","1946-11-27","Otaki",1,3,0,0,0,0,6718,0,0,0,0,0,0
105,"Holyoake KJ","National","1946-11-27","Pahiatua",1,1,0,0,0,0,8422,1,0,1,0,0,0
106,"Niederer OE","Labour","1946-11-27","Pahiatua",0,0,0,0,0,0,4725,0,0,0,0,0,0
107,"Wilson GHO","Labour","1946-11-27","Palmerston North",0,0,0,0,0,0,7237,1,0,1,0,0,0
108,"Mansford AE","National","1946-11-27","Palmerston North",0,0,0,0,0,0,6309,0,0,0,0,0,0
109,"Rae DM","National","1946-11-27","Parnell",0,0,0,0,0,0,6059,1,0,1,0,0,0
110,"Schramm FW","Labour","1946-11-27","Parnell",1,4,0,0,0,0,5853,0,0,0,0,0,0
111,"Sheat WA","National","1946-11-27","Patea",1,1,0,0,0,0,7227,1,0,1,0,0,0
112,"O'Dea RJ","Labour","1946-11-27","Patea",0,0,0,0,0,0,6357,0,0,0,0,0,0
113,"Moohan M","Labour","1946-11-27","Petone",0,0,0,0,0,0,8545,1,0,1,0,0,0
114,"London G","National","1946-11-27","Petone",0,0,0,0,0,0,4526,0,0,0,0,0,0
115,"Goosman WS","National","1946-11-27","Piako",1,2,0,0,0,0,8925,1,0,1,0,0,0
116,"Waters EA","Labour","1946-11-27","Piako",0,0,0,0,0,0,3824,0,0,0,0,0,0
117,"MacDonald RL","Labour","1946-11-27","Ponsonby",0,0,0,0,0,0,8314,1,0,1,0,0,0
118,"Dempsey PE","National","1946-11-27","Ponsonby",0,0,0,0,0,0,4883,0,0,0,0,0,0
119,"Baxter AC","Labour","1946-11-27","Raglan",0,0,0,0,0,0,6821,1,0,1,0,0,0
120,"Johnstone H","National","1946-11-27","Raglan",1,1,0,0,0,0,6808,0,0,0,0,0,0
121,"Gordon EBK","National","1946-11-27","Rangitikei",1,2,0,0,0,0,7647,1,0,1,0,0,0
122,"Capstick JJD","Labour","1946-11-27","Rangitikei",0,0,0,0,0,0,5340,0,0,0,0,0,0
123,"Algie RM","National","1946-11-27","Remuera",1,1,0,0,0,0,8512,1,0,1,0,0,0
124,"Freeman J","Labour","1946-11-27","Remuera",0,0,0,0,0,0,4102,0,0,0,0,0,0
125,"McLagan A","Labour","1946-11-27","Riccarton",0,0,1,1,0,0,8974,1,0,1,0,0,0
126,"Wilson VW","National","1946-11-27","Riccarton",0,0,0,0,0,0,5099,0,0,0,0,0,0
127,"Webb TC","National","1946-11-27","Rodney",1,1,0,0,0,0,8178,1,0,1,0,0,0
128,"Dixon AB","Labour","1946-11-27","Rodney",0,0,0,0,0,0,5328,0,0,0,0,0,0
129,"Langstone FL","Labour","1946-11-27","Roskill",1,5,1,1,1,0,6611,1,0,1,0,0,0
130,"McElvoy RG","National","1946-11-27","Roskill",0,0,0,0,0,0,6456,0,0,0,0,0,0
131,"McAlpine JK","National","1946-11-27","Selwyn",0,0,0,0,0,0,6970,1,0,1,0,0,0
132,"Sharp EA","Labour","1946-11-27","Selwyn",0,0,0,0,0,0,6498,0,0,0,0,0,0
133,"Tirikatene ET","Labour","1946-11-27","Southern Maori",1,4,1,1,0,0,861,1,0,1,0,0,0
134,"Thomas VOM","National","1946-11-27","Southern Maori",0,0,0,0,0,0,280,0,0,0,0,0,0
135,"Watts JT","National","1946-11-27","St Albans",1,1,0,0,0,0,6691,1,0,1,0,0,0
136,"Williams CM","Labour","1946-11-27","St Albans",1,3,0,0,0,0,6605,0,0,0,0,0,0
137,"Jones F","Labour","1946-11-27","St Kilda",1,4,1,1,1,0,7662,1,0,1,0,0,0
138,"Ireland LJT","National","1946-11-27","St Kilda",0,0,0,0,0,0,6414,0,0,0,0,0,0
139,"Howard MB","Labour","1946-11-27","Sydenham",1,2,0,0,0,0,10063,1,0,1,0,0,0
140,"Hunter R","National","1946-11-27","Sydenham",0,0,0,0,0,0,3317,0,0,0,0,0,0
141,"Skinner TE","Labour","1946-11-27","Tamaki",0,0,0,0,0,0,6781,1,0,1,0,0,0
142,"Wales JGC","National","1946-11-27","Tamaki",0,0,0,0,0,0,6550,0,0,0,0,0,0
143,"Doidge FW","National","1946-11-27","Tauranga",1,2,0,0,0,0,7931,1,0,1,0,0,0
