"ID","Name","Party","Date","Electorate","Incumbent","TermsServed","CabinetNow","CabinetEver","CabinetImportant","CabinetPM","Votes","Elected","ElectedList","ElectedElectorate","LastVotes","ListPosition","LastListPosition"
611,"McNaughton D","Social Credit","1960-11-26","Awarua",0,0,0,0,0,0,1117,0,0,0,0,0,0
449,"Allen PB","National","1960-11-26","Bay of Plenty",1,2,0,0,0,0,6920,1,0,1,6290,0,0
612,"Riden PE","Labour","1960-11-26","Bay of Plenty",0,0,0,0,0,0,4509,0,0,0,0,0,0
613,"Knox AE","Social Credit","1960-11-26","Bay of Plenty",0,0,0,0,0,0,1334,0,0,0,0,0,0
16,"Skinner CF","Labour","1960-11-26","Buller",1,7,1,1,0,0,6380,1,0,1,7563,0,0
614,"King EW","National","1960-11-26","Buller",0,0,0,0,0,0,4834,0,0,0,0,0,0
500,"Matthews PH","Social Credit","1960-11-26","Buller",0,0,0,0,0,0,1984,0,0,0,1357,0,0
615,"Bergh OG","I","1960-11-26","Buller",0,0,0,0,0,0,210,0,0,0,0,0,0
18,"MacFarlane RM","Labour","1960-11-26","Christchurch Central",1,7,0,0,0,0,6786,1,0,1,8763,0,0
616,"Flint TD","National","1960-11-26","Christchurch Central",0,0,0,0,0,0,4851,0,0,0,0,0,0
617,"Green W","Social Credit","1960-11-26","Christchurch Central",0,0,0,0,0,0,851,0,0,0,0,0,0
503,"Locke JC","C","1960-11-26","Christchurch Central",0,0,0,0,0,0,133,0,0,0,153,0,0
618,"Gordon JB","National","1960-11-26","Clutha",0,0,0,0,0,0,8175,1,0,1,0,0,0
504,"Fahey J","Labour","1960-11-26","Clutha",0,0,0,0,0,0,4312,0,0,0,5015,0,0
619,"Lumsden AJ","Social Credit","1960-11-26","Clutha",0,0,0,0,0,0,1166,0,0,0,0,0,0
23,"Connolly PG","Labour","1960-11-26","Dunedin Central",1,6,1,1,1,0,7175,1,0,1,8241,0,0
620,"Scurr ND","National","1960-11-26","Dunedin Central",0,0,0,0,0,0,6333,0,0,0,0,0,0
351,"Aberdeen C","Social Credit","1960-11-26","Dunedin Central",0,0,0,0,0,0,951,0,0,0,328,0,0
621,"Taylor WMcC","I","1960-11-26","Dunedin Central",0,0,0,0,0,0,471,0,0,0,0,0,0
328,"McMillan EE","Labour","1960-11-26","Dunedin North",1,3,0,0,0,0,7645,1,0,1,8616,0,0
622,"Bell MB","National","1960-11-26","Dunedin North",0,0,0,0,0,0,5170,0,0,0,0,0,0
623,"Goddard GW","Social Credit","1960-11-26","Dunedin North",0,0,0,0,0,0,1265,0,0,0,0,0,0
624,"Hunter EW","C","1960-11-26","Dunedin North",0,0,0,0,0,0,73,0,0,0,0,0,0
27,"Omana T","Labour","1960-11-26","Eastern Maori",1,6,0,0,0,0,5809,1,0,1,6569,0,0
507,"Reedy HT","Social Credit","1960-11-26","Eastern Maori",0,0,0,0,0,0,2784,0,0,0,2021,0,0
625,"Vercoe HR","National","1960-11-26","Eastern Maori",0,0,0,0,0,0,2496,0,0,0,0,0,0
626,"Carter M","I MM","1960-11-26","Eastern Maori",0,0,0,0,0,0,191,0,0,0,0,0,0
109,"Rae J","National","1960-11-26","Eden",1,5,1,1,0,0,8632,1,0,1,8744,0,0
568,"Penney RG","Labour","1960-11-26","Eden",0,0,0,0,0,0,6730,0,0,0,4951,0,0
509,"Grove AG","Social Credit","1960-11-26","Eden",0,0,0,0,0,0,556,0,0,0,599,0,0
510,"Sheat WA","National","1960-11-26","Egmont",1,1,0,0,0,0,7128,1,0,1,6863,0,0
627,"Watson JW","Labour","1960-11-26","Egmont",0,0,0,0,0,0,3195,0,0,0,0,0,0
360,"Smith WM","Social Credit","1960-11-26","Egmont",0,0,0,0,0,0,2209,0,0,0,1848,0,0
243,"Lake HR","National","1960-11-26","Fendalton",0,0,0,0,0,0,9500,1,0,1,7497,0,0
628,"Rowling WE","Labour","1960-11-26","Fendalton",0,0,0,0,0,0,6778,0,0,0,0,0,0
629,"Forster JJ","Social Credit","1960-11-26","Fendalton",0,0,0,0,0,0,826,0,0,0,0,0,0
417,"Allen AE","National","1960-11-26","Franklin",1,1,0,0,0,0,9442,1,0,1,8522,0,0
630,"Preston HT","Labour","1960-11-26","Franklin",0,0,0,0,0,0,4245,0,0,0,0,0,0
364,"Wheeler TA","Social Credit","1960-11-26","Franklin",0,0,0,0,0,0,1219,0,0,0,1386,0,0
631,"Tombleson EI","National","1960-11-26","Gisborne",0,0,0,0,0,0,7284,1,0,1,0,0,0
197,"Keeling RA","Labour","1960-11-26","Gisborne",1,2,0,0,0,0,6993,0,0,0,8038,0,0
632,"Box AF","Social Credit","1960-11-26","Gisborne",0,0,0,0,0,0,994,0,0,0,0,0,0
39,"Hackett F","Labour","1960-11-26","Grey Lynn",1,6,1,1,0,0,8761,1,0,1,9893,0,0
633,"Zouch BT","National","1960-11-26","Grey Lynn",0,0,0,0,0,0,4165,0,0,0,0,0,0
634,"Morley FT","Social Credit","1960-11-26","Grey Lynn",0,0,0,0,0,0,693,0,0,0,0,0,0
635,"Wolf RC","C","1960-11-26","Grey Lynn",0,0,0,0,0,0,117,0,0,0,0,0,0
604,"Adams-Schneider LR","National","1960-11-26","Hamilton",1,1,0,0,0,0,8222,1,0,1,7832,0,0
636,"Arthur Basil","Labour","1960-11-26","Hamilton",0,0,0,0,0,0,5639,0,0,0,0,0,0
637,"Bethune DRP","Social Credit","1960-11-26","Hamilton",0,0,0,0,0,0,1117,0,0,0,0,0,0
638,"MacIntyre D","National","1960-11-26","Hastings",0,0,0,0,0,0,7965,1,0,1,0,0,0
370,"Keating EJ","Labour","1960-11-26","Hastings",1,2,0,0,0,0,7665,0,0,0,8146,0,0
371,"Thew G","Social Credit","1960-11-26","Hastings",0,0,0,0,0,0,1302,0,0,0,782,0,0
372,"Kinsella AE","National","1960-11-26","Hauraki",1,2,0,0,0,0,7401,1,0,1,6743,0,0
467,"Tucker AC","Labour","1960-11-26","Hauraki",0,0,0,0,0,0,4776,0,0,0,5384,0,0
639,"Donovan WA","Social Credit","1960-11-26","Hauraki",0,0,0,0,0,0,1611,0,0,0,0,0,0
47,"Harker CGE","National","1960-11-26","Hawkes Bay",1,7,0,0,0,0,7508,1,0,1,7458,0,0
640,"Woolf JG","Labour","1960-11-26","Hawkes Bay",0,0,0,0,0,0,3826,0,0,0,0,0,0
641,"Bullock A","Social Credit","1960-11-26","Hawkes Bay",0,0,0,0,0,0,1110,0,0,0,0,0,0
642,"Cheer RE","I","1960-11-26","Hawkes Bay",0,0,0,0,0,0,263,0,0,0,0,0,0
643,"Bailey RL","Labour","1960-11-26","Heretaunga",0,0,0,0,0,0,8265,1,0,1,0,0,0
644,"Hampson-Tindale VE","National","1960-11-26","Heretaunga",0,0,0,0,0,0,5689,0,0,0,0,0,0
645,"Wall AR","Social Credit","1960-11-26","Heretaunga",0,0,0,0,0,0,1360,0,0,0,0,0,0
646,"Sloane LF","National","1960-11-26","Hobson",0,0,0,0,0,0,6406,1,0,1,0,0,0
647,"Cracknell VF","Social Credit","1960-11-26","Hobson",0,0,0,0,0,0,5005,0,0,0,0,0,0
571,"Webber GT","Labour","1960-11-26","Hobson",0,0,0,0,0,0,2335,0,0,0,3703,0,0
51,"Gillespie WH","National","1960-11-26","Hurunui",1,6,0,0,0,0,8307,1,0,1,7614,0,0
648,"Adcock AA","Labour","1960-11-26","Hurunui",0,0,0,0,0,0,5576,0,0,0,0,0,0
649,"Clark J","Social Credit","1960-11-26","Hurunui",0,0,0,0,0,0,1180,0,0,0,0,0,0
53,"Nash W","Labour","1960-11-26","Hutt",1,10,1,1,1,1,7614,1,0,1,8975,0,0
650,"Barker GL","National","1960-11-26","Hutt",0,0,0,0,0,0,5265,0,0,0,0,0,0
523,"Milne DS","Social Credit","1960-11-26","Hutt",0,0,0,0,0,0,997,0,0,0,808,0,0
651,"Wain G","I","1960-11-26","Hutt",0,0,0,0,0,0,115,0,0,0,0,0,0
652,"Hegman RG","C","1960-11-26","Hutt",0,0,0,0,0,0,40,0,0,0,0,0,0
57,"Hanan JR","National","1960-11-26","Invercargill",1,5,1,1,0,0,8128,1,0,1,7577,0,0
653,"Henderson OJ","Labour","1960-11-26","Invercargill",0,0,0,0,0,0,6202,0,0,0,0,0,0
654,"Steele DL","Social Credit","1960-11-26","Invercargill",0,0,0,0,0,0,624,0,0,0,0,0,0
92,"Nordmeyer AH","Labour","1960-11-26","Island Bay",1,4,1,1,1,0,7459,1,0,1,9368,0,0
655,"Curry FF","National","1960-11-26","Island Bay",0,0,0,0,0,0,5668,0,0,0,0,0,0
656,"Cameron JA","Social Credit","1960-11-26","Island Bay",0,0,0,0,0,0,748,0,0,0,0,0,0
657,"Smith RJ","c","1960-11-26","Island Bay",0,0,0,0,0,0,128,0,0,0,0,0,0
76,"Marshall JR","National","1960-11-26","Karori",1,5,1,1,1,0,9841,1,0,1,9481,0,0
658,"Smuts-Kennedy OE","Labour","1960-11-26","Karori",0,0,0,0,0,0,5528,0,0,0,0,0,0
659,"Wild DEC","Social Credit","1960-11-26","Karori",0,0,0,0,0,0,505,0,0,0,0,0,0
381,"Kirk NE","Labour","1960-11-26","Lyttelton",1,1,0,0,0,0,7910,1,0,1,8064,0,0
660,"Hay JB","National","1960-11-26","Lyttelton",0,0,0,0,0,0,7650,0,0,0,0,0,0
661,"Munnings C","Social Credit","1960-11-26","Lyttelton",0,0,0,0,0,0,1040,0,0,0,0,0,0
232,"Tennent WB","National","1960-11-26","Manawatu",1,1,0,0,0,0,7716,1,0,1,7256,0,0
518,"Fischer LT","Labour","1960-11-26","Manawatu",0,0,0,0,0,0,4596,0,0,0,4600,0,0
529,"O'Brien JB","Social Credit","1960-11-26","Manawatu",0,0,0,0,0,0,2068,0,0,0,1248,0,0
7,"Gotz Leon","National","1960-11-26","Manukau",1,4,0,0,0,0,9723,1,0,1,7480,0,0
394,"Stamp CD","Labour","1960-11-26","Manukau",0,0,0,0,0,0,9478,0,0,0,7321,0,0
530,"Higham TWG","Social Credit","1960-11-26","Manukau",0,0,0,0,0,0,778,0,0,0,820,0,0
68,"Shand TP","National","1960-11-26","Marlborough",1,5,1,1,0,0,7424,1,0,1,7672,0,0
662,"Hope RW","Labour","1960-11-26","Marlborough",0,0,0,0,0,0,5677,0,0,0,0,0,0
397,"Kerr GR","Social Credit","1960-11-26","Marlborough",0,0,0,0,0,0,1680,0,0,0,1184,0,0
398,"McKay DM","National","1960-11-26","Marsden",1,2,0,0,0,0,8704,1,0,1,7906,0,0
593,"Reid JS","Labour","1960-11-26","Marsden",0,0,0,0,0,0,4353,0,0,0,3947,0,0
663,"McQuillan RA","Social Credit","1960-11-26","Marsden",0,0,0,0,0,0,2132,0,0,0,0,0,0
401,"Fox WA","Labour","1960-11-26","Miramar",1,2,1,1,0,0,7186,1,0,1,8417,0,0
664,"Lyons BL","National","1960-11-26","Miramar",0,0,0,0,0,0,6719,0,0,0,0,0,0
531,"Johnson RW","Social Credit","1960-11-26","Miramar",0,0,0,0,0,0,893,0,0,0,736,0,0
74,"Hudson WA","Labour","1960-11-26","Mornington",1,5,0,0,0,0,7635,1,0,1,7756,0,0
665,"Thorn GR","National","1960-11-26","Mornington",0,0,0,0,0,0,5389,0,0,0,0,0,0
532,"Milburn JO","Social Credit","1960-11-26","Mornington",0,0,0,0,0,0,1548,0,0,0,1227,0,0
533,"Marston JL","C","1960-11-26","Mornington",0,0,0,0,0,0,70,0,0,0,38,0,0
30,"Freer WW","Labour","1960-11-26","Mt Albert",1,5,0,0,0,0,7905,1,0,1,8766,0,0
666,"Anderson CM","National","1960-11-26","Mt Albert",0,0,0,0,0,0,6229,0,0,0,0,0,0
667,"Monteith NR","Social Credit","1960-11-26","Mt Albert",0,0,0,0,0,0,690,0,0,0,0,0,0
668,"Pitcher L","U","1960-11-26","Mt Albert",0,0,0,0,0,0,34,0,0,0,0,0,0
407,"Edwards JG","Labour","1960-11-26","Napier",1,2,0,0,0,0,8838,1,0,1,9140,0,0
669,"Gunn WJ","National","1960-11-26","Napier",0,0,0,0,0,0,7533,0,0,0,0,0,0
537,"Frampton AE","Social Credit","1960-11-26","Napier",0,0,0,0,0,0,874,0,0,0,671,0,0
301,"Whitehead SA","Labour","1960-11-26","Nelson",1,1,0,0,0,0,8519,1,0,1,7592,0,0
538,"Martin CW","National","1960-11-26","Nelson",0,0,0,0,0,0,6752,0,0,0,7083,0,0
670,"Mahan AH","Social Credit","1960-11-26","Nelson",0,0,0,0,0,0,1223,0,0,0,0,0,0
85,"Aderman EP","National","1960-11-26","New Plymouth",1,6,0,0,0,0,9063,1,0,1,8386,0,0
540,"Barclay RM","Labour","1960-11-26","New Plymouth",0,0,0,0,0,0,7370,0,0,0,7729,0,0
410,"Lattimer KGJ","Social Credit","1960-11-26","New Plymouth",0,0,0,0,0,0,1068,0,0,0,686,0,0
223,"Eyre DJ","National","1960-11-26","North Shore",1,4,1,1,1,0,8727,1,0,1,8122,0,0
541,"Smith PL","Labour","1960-11-26","North Shore",0,0,0,0,0,0,6910,0,0,0,7660,0,0
542,"Richards AHE","Social Credit","1960-11-26","North Shore",0,0,0,0,0,0,431,0,0,0,544,0,0
543,"Holloway BV","I","1960-11-26","North Shore",0,0,0,0,0,0,97,0,0,0,140,0,0
89,"Paikea TP","Labour","1960-11-26","Northern Maori",1,6,0,0,0,0,5454,1,0,1,5774,0,0
671,"Harrison GR","National","1960-11-26","Northern Maori",0,0,0,0,0,0,2082,0,0,0,0,0,0
672,"Clarke W","Social Credit","1960-11-26","Northern Maori",0,0,0,0,0,0,1437,0,0,0,0,0,0
242,"Watt H","Labour","1960-11-26","Onehunga",1,3,1,1,0,0,8785,1,0,1,9752,0,0
673,"Phillips PB","National","1960-11-26","Onehunga",0,0,0,0,0,0,4080,0,0,0,0,0,0
674,"Leitch JC","Social Credit","1960-11-26","Onehunga",0,0,0,0,0,0,534,0,0,0,0,0,0
675,"McEwan D","C","1960-11-26","Onehunga",0,0,0,0,0,0,97,0,0,0,0,0,0
329,"May HLJ","Labour","1960-11-26","Onslow",1,3,0,0,0,0,8670,1,0,1,8882,0,0
676,"Clark MJ","National","1960-11-26","Onslow",0,0,0,0,0,0,7880,0,0,0,0,0,0
483,"Elliott EB","Social Credit","1960-11-26","Onslow",0,0,0,0,0,0,920,0,0,0,683,0,0
677,"Smith SE","C","1960-11-26","Onslow",0,0,0,0,0,0,101,0,0,0,0,0,0
420,"George JH","National","1960-11-26","Otago",1,2,0,0,0,0,7320,1,0,1,7196,0,0
678,"MacDonell BP","Labour","1960-11-26","Otago",0,0,0,0,0,0,2976,0,0,0,0,0,0
679,"Jones GI","Social Credit","1960-11-26","Otago",0,0,0,0,0,0,1372,0,0,0,0,0,0
304,"Deas JM","Labour","1960-11-26","Otahuhu",1,2,0,0,0,0,9247,1,0,1,8927,0,0
680,"Tucker TJL","National","1960-11-26","Otahuhu",0,0,0,0,0,0,6473,0,0,0,0,0,0
681,"Donovan AR","Social Credit","1960-11-26","Otahuhu",0,0,0,0,0,0,622,0,0,0,0,0,0
682,"Hieatt SH","C","1960-11-26","Otahuhu",0,0,0,0,0,0,114,0,0,0,0,0,0
377,"McCready A","National","1960-11-26","Otaki",0,0,0,0,0,0,8938,1,0,1,4265,0,0
683,"Cameron TW","Labour","1960-11-26","Otaki",0,0,0,0,0,0,6894,0,0,0,0,0,0
426,"Clunie GT","Social Credit","1960-11-26","Otaki",0,0,0,0,0,0,1758,0,0,0,1379,0,0
105,"Holyoake KJ","National","1960-11-26","Pahiatua",1,6,1,1,1,1,8111,1,0,1,8075,0,0
684,"McKane KDT","Labour","1960-11-26","Pahiatua",0,0,0,0,0,0,3177,0,0,0,0,0,0
685,"Dempsey PJ","Social Credit","1960-11-26","Pahiatua",0,0,0,0,0,0,1298,0,0,0,0,0,0
555,"Brown WH","National","1960-11-26","Palmerston North",0,0,0,0,0,0,7401,1,0,1,6583,0,0
429,"Skoglund POS","Labour","1960-11-26","Palmerston North",1,2,1,1,0,0,7268,0,0,0,7931,0,0
403,"Gunn RM","Social Credit","1960-11-26","Palmerston North",0,0,0,0,0,0,1186,0,0,0,887,0,0
686,"Manning FW","C","1960-11-26","Palmerston North",0,0,0,0,0,0,79,0,0,0,0,0,0
431,"Jack RE","National","1960-11-26","Patea",1,2,0,0,0,0,6420,1,0,1,6172,0,0
687,"Vallely DC","Labour","1960-11-26","Patea",0,0,0,0,0,0,4116,0,0,0,0,0,0
480,"Mullins TG","Social Credit","1960-11-26","Patea",0,0,0,0,0,0,2076,0,0,0,1262,0,0
113,"Moohan M","Labour","1960-11-26","Petone",1,5,1,1,0,0,8738,1,0,1,9401,0,0
688,"Martin RM","National","1960-11-26","Petone",0,0,0,0,0,0,5820,0,0,0,0,0,0
559,"Long DG","Social Credit","1960-11-26","Petone",0,0,0,0,0,0,1052,0,0,0,737,0,0
115,"Goosman WS","National","1960-11-26","Piako",1,7,1,1,0,0,8500,1,0,1,7650,0,0
689,"Uttinger HJ","Labour","1960-11-26","Piako",0,0,0,0,0,0,3124,0,0,0,0,0,0
690,"Barrowclough ME","Social Credit","1960-11-26","Piako",0,0,0,0,0,0,1555,0,0,0,0,0,0
117,"MacDonald RL","Labour","1960-11-26","Ponsonby",1,5,0,0,0,0,9138,1,0,1,11029,0,0
691,"McLaughlan NF","National","1960-11-26","Ponsonby",0,0,0,0,0,0,4394,0,0,0,0,0,0
562,"Ross WA","Social Credit","1960-11-26","Ponsonby",0,0,0,0,0,0,612,0,0,0,686,0,0
563,"Jackson GE","C","1960-11-26","Ponsonby",0,0,0,0,0,0,361,0,0,0,286,0,0
564,"Carter DJ","National","1960-11-26","Raglan",1,1,0,0,0,0,6919,1,0,1,6271,0,0
565,"Baxter AC","Labour","1960-11-26","Raglan",0,0,0,0,0,0,5548,0,0,0,6110,0,0
471,"Thompson SM","Social Credit","1960-11-26","Raglan",0,0,0,0,0,0,720,0,0,0,1271,0,0
692,"Christie WE","I","1960-11-26","Raglan",0,0,0,0,0,0,101,0,0,0,0,0,0
438,"Shelton NL","National","1960-11-26","Rangitikei",1,2,0,0,0,0,7701,1,0,1,7584,0,0
693,"Cameron SA","Labour","1960-11-26","Rangitikei",0,0,0,0,0,0,3812,0,0,0,0,0,0
567,"Needham FM","Social Credit","1960-11-26","Rangitikei",0,0,0,0,0,0,1894,0,0,0,1286,0,0
123,"Algie RM","National","1960-11-26","Remuera",1,6,1,1,0,0,10212,1,0,1,9717,0,0
694,"Gustafson BS","Labour","1960-11-26","Remuera",0,0,0,0,0,0,4103,0,0,0,0,0,0
695,"Morley M","Social Credit","1960-11-26","Remuera",0,0,0,0,0,0,692,0,0,0,0,0,0
332,"Connelly MA","Labour","1960-11-26","Riccarton",1,1,0,0,0,0,8342,1,0,1,8128,0,0
570,"Sergei DV","National","1960-11-26","Riccarton",0,0,0,0,0,0,6320,0,0,0,5261,0,0
496,"Cullen CE","Social Credit","1960-11-26","Riccarton",0,0,0,0,0,0,1019,0,0,0,1049,0,0
443,"Scott WJ","National","1960-11-26","Rodney",1,2,0,0,0,0,7728,1,0,1,6815,0,0
696,"Amos PA","Labour","1960-11-26","Rodney",0,0,0,0,0,0,3571,0,0,0,0,0,0
445,"Hunter GD","Social Credit","1960-11-26","Rodney",0,0,0,0,0,0,2150,0,0,0,2423,0,0
285,"Faulkner AJ","Labour","1960-11-26","Roskill",1,1,0,0,0,0,8141,1,0,1,8197,0,0
534,"Taylor GGP","National","1960-11-26","Roskill",0,0,0,0,0,0,6767,0,0,0,4779,0,0
572,"Langstone FL","Social Credit","1960-11-26","Roskill",0,0,0,0,0,0,575,0,0,0,527,0,0
697,"Ayo E","C","1960-11-26","Roskill",0,0,0,0,0,0,68,0,0,0,0,0,0
698,"Lapwood HR","National","1960-11-26","Rotorua",0,0,0,0,0,0,7831,1,0,1,0,0,0
448,"Boord AR","Labour","1960-11-26","Rotorua",1,2,0,0,0,0,7473,0,0,0,8204,0,0
699,"Tunnicliffe CR","Social Credit","1960-11-26","Rotorua",0,0,0,0,0,0,1416,0,0,0,0,0,0
131,"McAlpine JK","National","1960-11-26","Selwyn",1,5,1,1,0,0,8096,1,0,1,7564,0,0
700,"Palmer J","Labour","1960-11-26","Selwyn",0,0,0,0,0,0,5257,0,0,0,0,0,0
338,"Morton RH","Social Credit","1960-11-26","Selwyn",0,0,0,0,0,0,1042,0,0,0,823,0,0
133,"Tirikatene Eruera","Labour","1960-11-26","Southern Maori",1,9,1,1,0,0,5132,1,0,1,5335,0,0
701,"Tutaki NW","National","1960-11-26","Southern Maori",0,0,0,0,0,0,1185,0,0,0,0,0,0
702,"Niania ME","Social Credit","1960-11-26","Southern Maori",0,0,0,0,0,0,474,0,0,0,0,0,0
703,"Walker HJ","National","1960-11-26","St Albans",0,0,0,0,0,0,7809,1,0,1,0,0,0
182,"Pickering NG","Labour","1960-11-26","St Albans",1,1,0,0,0,0,7511,0,0,0,7960,0,0
461,"Lynne GR","Social Credit","1960-11-26","St Albans",0,0,0,0,0,0,746,0,0,0,860,0,0
581,"Fraser WA","Labour","1960-11-26","St Kilda",1,1,0,0,0,0,7662,1,0,1,8058,0,0
315,"Barnes JG","National","1960-11-26","St Kilda",0,0,0,0,0,0,6827,0,0,0,7267,0,0
704,"Greenwood TA","Social Credit","1960-11-26","St Kilda",0,0,0,0,0,0,1169,0,0,0,0,0,0
458,"Murray TT","National","1960-11-26","Stratford",1,2,0,0,0,0,7638,1,0,1,7414,0,0
705,"St George HM","Labour","1960-11-26","Stratford",0,0,0,0,0,0,3250,0,0,0,0,0,0
459,"Tuffery LB","Social Credit","1960-11-26","Stratford",0,0,0,0,0,0,1936,0,0,0,1669,0,0
139,"Howard MB","Labour","1960-11-26","Sydenham",1,7,1,1,0,0,8827,1,0,1,10213,0,0
706,"Quigley DF","National","1960-11-26","Sydenham",0,0,0,0,0,0,4034,0,0,0,0,0,0
707,"Pounsford JE","Social Credit","1960-11-26","Sydenham",0,0,0,0,0,0,1225,0,0,0,0,0,0
405,"Muldoon RD","National","1960-11-26","Tamaki",0,0,0,0,0,0,8728,1,0,1,6580,0,0
310,"Tizard RJ","Labour","1960-11-26","Tamaki",1,1,0,0,0,0,7580,0,0,0,7749,0,0
585,"McGowan EE","Social Credit","1960-11-26","Tamaki",0,0,0,0,0,0,352,0,0,0,2127,0,0
708,"Smith RC","C","1960-11-26","Tamaki",0,0,0,0,0,0,77,0,0,0,0,0,0
318,"Walsh GA","National","1960-11-26","Tauranga",1,3,0,0,0,0,9120,1,0,1,7814,0,0
709,"Goodfellow DC","Labour","1960-11-26","Tauranga",0,0,0,0,0,0,3881,0,0,0,0,0,0
369,"Young RG","Social Credit","1960-11-26","Tauranga",0,0,0,0,0,0,2563,0,0,0,983,0,0
145,"Carr CL","Labour","1960-11-26","Timaru",1,10,0,0,0,0,7617,1,0,1,8379,0,0
710,"White RE","National","1960-11-26","Timaru",0,0,0,0,0,0,7260,0,0,0,0,0,0
586,"Isitt FC","Social Credit","1960-11-26","Timaru",0,0,0,0,0,0,542,0,0,0,562,0,0
711,"Rae JR","PPI","1960-11-26","Timaru",0,0,0,0,0,0,90,0,0,0,0,0,0
147,"Sim GF","National","1960-11-26","Waikato",1,6,0,0,0,0,7403,1,0,1,6677,0,0
587,"Ingram AJ","Labour","1960-11-26","Waikato",0,0,0,0,0,0,4362,0,0,0,4664,0,0
712,"Pemberton RF","Social Credit","1960-11-26","Waikato",0,0,0,0,0,0,1192,0,0,0,0,0,0
120,"Johnstone H","National","1960-11-26","Waipa",1,4,0,0,0,0,8544,1,0,1,7197,0,0
713,"Reese RD","Labour","1960-11-26","Waipa",0,0,0,0,0,0,5303,0,0,0,0,0,0
589,"Bennett TWO","Social Credit","1960-11-26","Waipa",0,0,0,0,0,0,1795,0,0,0,1622,0,0
257,"Cooksley BV","National","1960-11-26","Wairarapa",1,4,0,0,0,0,7887,1,0,1,7121,0,0
714,"Goldsmith AG","Labour","1960-11-26","Wairarapa",0,0,0,0,0,0,5799,0,0,0,0,0,0
715,"Crawford REC","Social Credit","1960-11-26","Wairarapa",0,0,0,0,0,0,1450,0,0,0,0,0,0
155,"Mason HGR","Labour","1960-11-26","Waitakere",1,11,1,1,1,0,10680,1,0,1,9263,0,0
716,"Wilkinson JH","National","1960-11-26","Waitakere",0,0,0,0,0,0,6971,0,0,0,0,0,0
462,"Robertson KED","Social Credit","1960-11-26","Waitakere",0,0,0,0,0,0,1239,0,0,0,1204,0,0
717,"Wilcox VG","C","1960-11-26","Waitakere",0,0,0,0,0,0,201,0,0,0,0,0,0
226,"Hayman TL","National","1960-11-26","Waitaki",1,4,0,0,0,0,8492,1,0,1,7942,0,0
718,"McKay LJ","Labour","1960-11-26","Waitaki",0,0,0,0,0,0,6520,0,0,0,0,0,0
719,"Barwood AW","Social Credit","1960-11-26","Waitaki",0,0,0,0,0,0,1358,0,0,0,0,0,0
290,"King NJ","Labour","1960-11-26","Waitemata",1,2,0,0,0,0,9241,1,0,1,8771,0,0
720,"Firth JR","National","1960-11-26","Waitemata",0,0,0,0,0,0,7992,0,0,0,0,0,0
477,"Jordan BA","Social Credit","1960-11-26","Waitemata",0,0,0,0,0,0,1174,0,0,0,1036,0,0
721,"McLeod HJ","C","1960-11-26","Waitemata",0,0,0,0,0,0,139,0,0,0,0,0,0
478,"Seath DC","National","1960-11-26","Waitomo",1,2,0,0,0,0,7494,1,0,1,7042,0,0
722,"McLaren DB","Labour","1960-11-26","Waitomo",0,0,0,0,0,0,3543,0,0,0,0,0,0
591,"Mason TWH","Social Credit","1960-11-26","Waitomo",0,0,0,0,0,0,1623,0,0,0,1482,0,0
592,"Talboys BE","National","1960-11-26","Wallace",1,1,0,0,0,0,8786,1,0,1,8266,0,0
723,"Harris E","Labour","1960-11-26","Wallace",0,0,0,0,0,0,3050,0,0,0,0,0,0
594,"Stack JP","Social Credit","1960-11-26","Wallace",0,0,0,0,0,0,990,0,0,0,919,0,0
558,"Riddiford DJ","National","1960-11-26","Wellington Central",0,0,0,0,0,0,7373,1,0,1,5242,0,0
260,"Kitts FJ","Labour","1960-11-26","Wellington Central",1,2,0,0,0,0,6992,0,0,0,8980,0,0
596,"Norris AH","Social Credit","1960-11-26","Wellington Central",0,0,0,0,0,0,526,0,0,0,699,0,0
724,"Stanton KSC","C","1960-11-26","Wellington Central",0,0,0,0,0,0,127,0,0,0,0,0,0
263,"Ratana IM","Labour","1960-11-26","Western Maori",1,4,0,0,0,0,6695,1,0,1,7076,0,0
597,"Hurunui-Jones PT","National","1960-11-26","Western Maori",0,0,0,0,0,0,2029,0,0,0,1523,0,0
725,"Tuwhangai H","Social Credit","1960-11-26","Western Maori",0,0,0,0,0,0,874,0,0,0,0,0,0
726,"Rakana TeHM","K","1960-11-26","Western Maori",0,0,0,0,0,0,378,0,0,0,0,0,0
727,"Blanchfield P","Labour","1960-11-26","Westland",0,0,0,0,0,0,8153,1,0,1,0,0,0
728,"Hogg DA","National","1960-11-26","Westland",0,0,0,0,0,0,4309,0,0,0,0,0,0
488,"Fraser IM","Social Credit","1960-11-26","Westland",0,0,0,0,0,0,1175,0,0,0,790,0,0
729,"Mitchell RH","C","1960-11-26","Westland",0,0,0,0,0,0,208,0,0,0,0,0,0
730,"Spooner GA","Labour","1960-11-26","Whanganui",0,0,0,0,0,0,6071,1,0,1,0,0,0
731,"Crotty EJ","National","1960-11-26","Whanganui",0,0,0,0,0,0,5911,0,0,0,0,0,0
491,"Marks ROC","Social Credit","1960-11-26","Whanganui",0,0,0,0,0,0,3132,0,0,0,3378,0,0
608,"Pickering HEL","National","1961-06-10","Hurunui",0,0,0,0,0,0,6644,1,0,1,4467,0,0
648,"Adcock AA","Labour","1961-06-10","Hurunui",0,0,0,0,0,0,4760,0,0,0,5576,0,0
