"Perry, W"	4/1/1940	10/28/1943	0	0
"Webb, P"	4/1/1940	10/28/1943	0	0
"Jones, F"	4/1/1940	10/28/1943	1	0
"Martin, W"	4/1/1940	10/28/1943	0	0
"Langstone, F"	4/1/1940	10/28/1943	1	0
"Wilson, D"	4/1/1940	10/28/1943	0	0
"McMillen, D"	4/1/1940	10/28/1943	0	0
"Fraser, P"	10/29/1943	12/18/1946	1	1
"Nash, W"	10/29/1943	12/18/1946	1	0
"Sullivan, D"	10/29/1943	12/18/1946	0	0
"Mason, H"	10/29/1943	12/18/1946	1	0
"Semple, R"	10/29/1943	12/18/1946	0	0
"Perry, W"	10/29/1943	12/18/1946	0	0
"Webb, P"	10/29/1943	12/18/1946	0	0
"Jones, F"	10/29/1943	12/18/1946	1	0
"Wilson, D"	10/29/1943	12/18/1946	0	0
"Nordmeyer, A"	10/29/1943	12/18/1946	1	0
"McLagan, A"	10/29/1943	12/18/1946	0	0
"Obrien, J"	10/29/1943	12/18/1946	0	0
"Skinner, C"	10/29/1943	12/18/1946	0	0
"Roberts, B"	10/29/1943	12/18/1946	0	0
"Tirikatene, E"	10/29/1943	12/18/1946	0	0
"Fraser, P"	12/19/1946	12/12/1949	1	1
"Nash, W"	12/19/1946	12/12/1949	1	0
"Sullivan, D"	12/19/1946	12/12/1949	0	0
"Mason, H"	12/19/1946	12/12/1949	1	0
"Semple, R"	12/19/1946	12/12/1949	0	0
"Perry, W"	12/19/1946	12/12/1949	0	0
"Jones, F"	12/19/1946	12/12/1949	1	0
"Nordmeyer, A"	12/19/1946	12/12/1949	0	0
"Obrien, J"	12/19/1946	12/12/1949	0	0
"Skinner, C"	12/19/1946	12/12/1949	0	0
"McLagan, A"	12/19/1946	12/12/1949	0	0
"Cullen, E"	12/19/1946	12/12/1949	0	0
"Hackett, F"	12/19/1946	12/12/1949	0	0
"Tirikatene, E"	12/19/1946	12/12/1949	0	0
"Holland, S"	12/13/1949	11/25/1954	1	1
"Holyoake, K"	12/13/1949	11/25/1954	0	0
"Sullivan, W"	12/13/1949	11/25/1954	0	0
"Webb, T"	12/13/1949	11/25/1954	1	0
"Algie, R"	12/13/1949	11/25/1954	0	0
"Bodkin, W"	12/13/1949	11/25/1954	0	0
"Bowden, C"	12/13/1949	11/25/1954	0	0
"Broadfoot, W"	12/13/1949	11/25/1954	0	0
"Corbett, E"	12/13/1949	11/25/1954	0	0
"Doidge, F"	12/13/1949	11/25/1954	1	0
"Goosman, W"	12/13/1949	11/25/1954	0	0
"MacDonald, T"	12/13/1949	11/25/1954	1	0
"Watts, J"	12/13/1949	11/25/1954	1	0
"Ross, G"	12/13/1949	11/25/1954	0	0
"Marshall, J"	12/13/1949	11/25/1954	1	0
"Fortune, W"	12/13/1949	11/25/1954	0	0
"Polson, W"	12/13/1949	11/25/1954	0	0
"Holland, S"	11/26/1954	9/19/1957	1	1
"Holyoake, K"	11/26/1954	9/19/1957	0	0
"Sullivan, W"	11/26/1954	9/19/1957	0	0
"Corbett, E"	11/26/1954	9/19/1957	0	0
"Goosman, W"	11/26/1954	9/19/1957	0	0
"MacDonald, T"	11/26/1954	9/19/1957	1	0
"Watts, J"	11/26/1954	9/19/1957	1	0
"Marshall, J"	11/26/1954	9/19/1957	1	0
"Ross, G"	11/26/1954	9/19/1957	0	0
"Smith, S"	11/26/1954	9/19/1957	0	0
"Eyre, D"	11/26/1954	9/19/1957	0	0
"Halstead, E"	11/26/1954	9/19/1957	0	0
"Hanan, J"	11/26/1954	9/19/1957	1	0
"McAlpine, J"	11/26/1954	9/19/1957	0	0
"Shand, T"	11/26/1954	9/19/1957	0	0
"Holyoake, K"	9/20/1957	12/11/1957	1	1
"Marshall, J"	9/20/1957	12/11/1957	1	0
"Watts, J"	9/20/1957	12/11/1957	1	0
"Holland, S"	9/20/1957	12/11/1957	0	0
"Algie, R"	9/20/1957	12/11/1957	0	0
"Goosman, W"	9/20/1957	12/11/1957	0	0
"MacDonald, T"	9/20/1957	12/11/1957	0	0
"Ross, H"	9/20/1957	12/11/1957	0	0
"Smith, S"	9/20/1957	12/11/1957	0	0
"Eyre, D"	9/20/1957	12/11/1957	1	0
"Halstead, E"	9/20/1957	12/11/1957	0	0
"Hanan, J"	9/20/1957	12/11/1957	0	0
"McAlpine, J"	9/20/1957	12/11/1957	0	0
"Shand, T"	9/20/1957	12/11/1957	0	0
"Gerard, R"	9/20/1957	12/11/1957	0	0
"Rae, J"	9/20/1957	12/11/1957	0	0
"Nash, W"	12/12/1957	12/11/1960	1	1
"Skinner, C"	12/12/1957	12/11/1960	0	0
"Nordmeyer, A"	12/12/1957	12/11/1960	1	0
"Mason, H"	12/12/1957	12/11/1960	1	0
"Hackett, F"	12/12/1957	12/11/1960	0	0
"Fox, W"	12/12/1957	12/11/1960	0	0
"Watt, H"	12/12/1957	12/11/1960	0	0
"Tirikatene, E"	12/12/1957	12/11/1960	0	0
"Connolly, P"	12/12/1957	12/11/1960	1	0
"Moohan, M"	12/12/1957	12/11/1960	0	0
"Holloway, P"	12/12/1957	12/11/1960	0	0
"Skoglund, P"	12/12/1957	12/11/1960	0	0
"Howard, M"	12/12/1957	12/11/1960	0	0
"Mathison, J"	12/12/1957	12/11/1960	0	0
"Boord, R"	12/12/1957	12/11/1960	0	0
"Anderton, W"	12/12/1957	12/11/1960	0	0
"Holyoake, K"	12/12/1960	12/19/1963	1	1
"Marshall, J"	12/12/1960	12/19/1963	0	0
"Hanan, J"	12/12/1960	12/19/1963	1	0
"McAlpine, J"	12/12/1960	12/19/1963	0	0
"Shand, T"	12/12/1960	12/19/1963	0	0
"Goosman, W"	12/12/1960	12/19/1963	0	0
"Lake, H"	12/12/1960	12/19/1963	1	0
"Eyre, D"	12/12/1960	12/19/1963	1	0
"Gallespie, W"	12/12/1960	12/19/1963	0	0
"Gerard, R"	12/12/1960	12/19/1963	0	0
"Gotz, F"	12/12/1960	12/19/1963	0	0
"Rae, J"	12/12/1960	12/19/1963	0	0
"Tennent, W"	12/12/1960	12/19/1963	0	0
"Hayman, T"	12/12/1960	12/19/1963	0	0
"Shelton, N"	12/12/1960	12/19/1963	1	0
"Kinsella, A"	12/12/1960	12/19/1963	0	0
"Holyoake, K"	12/20/1963	12/11/1966	1	1
"Marshall, J"	12/20/1963	12/11/1966	0	0
"Hanan, J"	12/20/1963	12/11/1966	1	0
"McAlpine, J"	12/20/1963	12/11/1966	0	0
"Shand, T"	12/20/1963	12/11/1966	0	0
"Lake, H"	12/20/1963	12/11/1966	1	0
"Eyre, D"	12/20/1963	12/11/1966	1	0
"Shelton, N"	12/20/1963	12/11/1966	0	0
"Gerard, R"	12/20/1963	12/11/1966	0	0
"Talboys, B"	12/20/1963	12/11/1966	0	0
"Rae, J"	12/20/1963	12/11/1966	0	0
"Kinsella, A"	12/20/1963	12/11/1966	0	0
"McKay, D"	12/20/1963	12/11/1966	1	0
"Seath, D"	12/20/1963	12/11/1966	0	0
"Allen, P"	12/20/1963	12/11/1966	0	0
"Scott, W"	12/20/1963	12/11/1966	0	0
"Holyoake, K"	12/12/1966	12/21/1969	1	1
"Marshall, J"	12/12/1966	12/21/1969	0	0
"Hanan, J"	12/12/1966	12/21/1969	1	0
"Shand, T"	12/12/1966	12/21/1969	0	0
"Lake, H"	12/12/1966	12/21/1969	1	0
"Shelton, N"	12/12/1966	12/21/1969	0	0
"Talboys, B"	12/12/1966	12/21/1969	0	0
"Rae, J"	12/12/1966	12/21/1969	0	0
"Kinsella, A"	12/12/1966	12/21/1969	0	0
"McKay, D"	12/12/1966	12/21/1969	0	0
"Seath, D"	12/12/1966	12/21/1969	0	0
"Allen, P"	12/12/1966	12/21/1969	0	0
"Scott, W"	12/12/1966	12/21/1969	0	0
"Gordon, J"	12/12/1966	12/21/1969	0	0
"MacIntyre, D"	12/12/1966	12/21/1969	0	0
"Thomson, D"	12/12/1966	12/21/1969	1	0
"Holyoake, K"	12/22/1969	2/8/1972	1	1
"Marshall, J"	12/22/1969	2/8/1972	0	0
"Shelton, N"	12/22/1969	2/8/1972	0	0
"Talboys, B"	12/22/1969	2/8/1972	0	0
"Muldoon, R"	12/22/1969	2/8/1972	1	0
"Rae, J"	12/22/1969	2/8/1972	0	0
"McKay, D"	12/22/1969	2/8/1972	0	0
"Seath, D"	12/22/1969	2/8/1972	0	0
"Allen, P"	12/22/1969	2/8/1972	0	0
"Carter, D"	12/22/1969	2/8/1972	0	0
"Gordon, J"	12/22/1969	2/8/1972	0	0
"MacIntyre, D"	12/22/1969	2/8/1972	0	0
"Thomson, D"	12/22/1969	2/8/1972	1	0
"Adams-Schneider, L"	12/22/1969	2/8/1972	0	0
"McCready, A"	12/22/1969	2/8/1972	0	0
"Riddiford, D"	12/22/1969	2/8/1972	1	0
"Walker, H"	12/22/1969	2/8/1972	0	0
"Pickering, H"	12/22/1969	2/8/1972	0	0
"Marshall, J"	2/9/1972	12/7/1972	1	1
"Muldoon, R"	2/9/1972	12/7/1972	0	0
"Talboys, B"	2/9/1972	12/7/1972	0	0
"Gordon, J"	2/9/1972	12/7/1972	0	0
