Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Patea	11/27/1946	Sheat WA	National	7227	1	1
Patea	11/27/1946	O'Dea RJ	Labour	6357	0	0
Petone	11/27/1946	Moohan M	Labour	8545	1	0
Petone	11/27/1946	London G	National	4526	0	0
Piako	11/27/1946	Goosman WS	National	8925	1	2
Piako	11/27/1946	Waters EA	Labour	3824	0	0
Ponsonby	11/27/1946	MacDonald RL	Labour	8314	1	0
Ponsonby	11/27/1946	Dempsey PE	National	4883	0	0
Raglan	11/27/1946	Baxter AC	Labour	6821	1	0
Raglan	11/27/1946	Johnstone H	National	6808	0	1
Rangitikei	11/27/1946	Gordon EBK	National	7647	1	2
Rangitikei	11/27/1946	Capstick JJD	Labour	5340	0	0
Remuera	11/27/1946	Algie RM	National	8512	1	1
Remuera	11/27/1946	Freeman J	Labour	4102	0	0
Riccarton	11/27/1946	McLagan A	Labour	8974	1	0
Riccarton	11/27/1946	Wilson VW	National	5099	0	0
Rodney	11/27/1946	Webb TC	National	8178	1	1
Rodney	11/27/1946	Dixon AB	Labour	5328	0	0
Roskill	11/27/1946	Langstone FL	Labour	6611	1	5
Roskill	11/27/1946	McElvoy RG	National	6456	0	0
Selwyn	11/27/1946	McAlpine JK	National	6970	1	0
Selwyn	11/27/1946	Sharp EA	Labour	6498	0	0
Southern Maori	11/27/1946	Tirikatene ET	Labour	861	1	4
Southern Maori	11/27/1946	Thomas VOM	National	280	0	0
St Albans	11/27/1946	Watts JT	National	6691	1	1
St Albans	11/27/1946	Williams CM	Labour	6605	0	3
St Kilda	11/27/1946	Jones F	Labour	7662	1	4
St Kilda	11/27/1946	Ireland LJT	National	6414	0	0
Sydenham	11/27/1946	Howard MB	Labour	10063	1	2
Sydenham	11/27/1946	Hunter R	National	3317	0	0
Tamaki	11/27/1946	Skinner TE	Labour	6781	1	0
Tamaki	11/27/1946	Wales JGC	National	6550	0	0
Tauranga	11/27/1946	Doidge FW	National	7931	1	2
Tauranga	11/27/1946	Hill DA	Labour	5227	0	0
Timaru	11/27/1946	Carr CL	Labour	7005	1	5
Timaru	11/27/1946	Acland J	National	6485	0	2
Waikato	11/27/1946	Sim GF	National	8782	1	1
Waikato	11/27/1946	Dwyer J	Labour	4397	0	0
Waimarino	11/27/1946	Kearins PR	Labour	6755	1	0
Waimarino	11/27/1946	Hill NR	National	6074	0	0
Waimate	11/27/1946	Kidd DC	National	6922	1	2
Waimate	11/27/1946	Davison WR	Labour	6133	0	0
Wairarapa	11/27/1946	Mackley GH	National	7095	1	1
Wairarapa	11/27/1946	Hansen GA	Labour	6860	0	0
Waitakere	11/27/1946	Mason HGR	Labour	8285	1	6
Waitakere	11/27/1946	Laing AM	National	5488	0	0
Waitakere	11/27/1946	Allen F	I	235	0	0
Waitomo	11/27/1946	Broadfoot WJ	National	8440	1	5
Waitomo	11/27/1946	Goldsmith AG	Labour	4489	0	0
Wallace	11/27/1946	MacDonald TL	National	8068	1	2
Wallace	11/27/1946	Munro DJ	Labour	4352	0	0
Wallace	11/27/1946	Murrell LA	I	95	0	0
Wellington Central	11/27/1946	Chapman CH	Labour	6201	1	5
Wellington Central	11/27/1946	Weston AL	National	4521	0	0
Western Maori	11/27/1946	Marumaru HTU	National	2809	1	1
Western Maori	11/27/1946	Amohanga PRMM	I	217	0	0
Western Maori	11/27/1946	Hou RK	I	157	0	0
Westland	11/27/1946	O'Brien J	Labour	9097	1	4
Westland	11/27/1946	Chivers EF	National	4381	0	0
Whanganui	11/27/1946	Cotterill JBF	Labour	7833	1	3
Whanganui	11/27/1946	Merewether EW	National	5899	0	0
Avon	5/28/1947	Mathison J	Labour	8513	1	
Avon	5/28/1947	McDowell RA	National	4422	0	
Avon	5/28/1947	Robertson JR	I	100	0	
Mt Albert	9/24/1947	Freer WW	Labour	7235	1	
