Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Remuera	11/30/1957	Penney RG	Labour	4951	0	
Remuera	11/30/1957	Wood EM	Social Credit	759	0	
Riccarton	11/30/1957	Connelly MA	Labour	8128	1	
Riccarton	11/30/1957	Sergei DV	National	5261	0	
Riccarton	11/30/1957	Colechin JE	Social Credit	740	0	
Rodney	11/30/1957	Scott WJ	National	6815	1	
Rodney	11/30/1957	Webber GT	Labour	3703	0	
Rodney	11/30/1957	Hunter GD	Social Credit	2423	0	
Roskill	11/30/1957	Faulkner AJ	Labour	8197	1	
Roskill	11/30/1957	Rae J	National	6080	0	
Roskill	11/30/1957	Langstone FL	Social Credit	527	0	
Rotorua	11/30/1957	Boord AR	Labour	8204	1	
Rotorua	11/30/1957	Linton AM	National	6195	0	
Rotorua	11/30/1957	Buckingham HJ	Social Credit	998	0	
Selwyn	11/30/1957	McAlpine JK	National	7564	1	
Selwyn	11/30/1957	Cook SSM	Labour	5833	0	
Selwyn	11/30/1957	Morton RH	Social Credit	823	0	
Southern Maori	11/30/1957	Tirikatene ET	Labour	5335	1	
Southern Maori	11/30/1957	Stratton T	National	952	0	
Southern Maori	11/30/1957	Ropiha HI	Social Credit	394	0	
Southern Maori	11/30/1957	Makitanare TW	K	113	0	
St Albans	11/30/1957	Pickering NG	Labour	7960	1	
St Albans	11/30/1957	Wills EP	National	7459	0	
St Albans	11/30/1957	Penrose TF	Social Credit	759	0	
St Kilda	11/30/1957	Fraser WA	Labour	8058	1	
St Kilda	11/30/1957	Barnes JG	National	7267	0	
St Kilda	11/30/1957	Ernslie SG	Social Credit	509	0	
St Kilda	11/30/1957	Poole F	ISC	153	0	
Stratford	11/30/1957	Murray TT	National	7414	1	
Stratford	11/30/1957	Deegan JM	Labour	4242	0	
Stratford	11/30/1957	Tuffery LB	Social Credit	1669	0	
Sydenham	11/30/1957	Howard MB	Labour	10213	1	
Sydenham	11/30/1957	Moody OG	National	3763	0	
Sydenham	11/30/1957	Lynne GR	Social Credit	860	0	
Tamaki	11/30/1957	Tizard RJ	Labour	7749	1	
Tamaki	11/30/1957	Halstead EH	National	7160	0	
Tamaki	11/30/1957	Norris J	Social Credit	400	0	
Tauranga	11/30/1957	Walsh GA	National	7814	1	
Tauranga	11/30/1957	Liddell OP	Labour	4472	0	
Tauranga	11/30/1957	McGowan EE	Social Credit	2127	0	
Timaru	11/30/1957	Carr CL	Labour	8379	1	
Timaru	11/30/1957	Davey AJ	National	6657	0	
Timaru	11/30/1957	Isitt FC	Social Credit	562	0	
Waikato	11/30/1957	Sim GF	National	6677	1	
Waikato	11/30/1957	Ingram AJ	Labour	4664	0	
Waikato	11/30/1957	Crawley GT	Social Credit	1139	0	
Waipa	11/30/1957	Johnstone H	National	7197	1	
Waipa	11/30/1957	Tucker AC	Labour	5384	0	
Waipa	11/30/1957	Bennett TWO	Social Credit	1622	0	
Wairarapa	11/30/1957	Cooksley BV	National	7121	1	
Wairarapa	11/30/1957	Wilkie RS	Labour	6063	0	
Wairarapa	11/30/1957	Feast JE	Social Credit	1588	0	
Waitakere	11/30/1957	Mason HGR	Labour	9263	1	
Waitakere	11/30/1957	Bradley LG	National	5581	0	
Waitakere	11/30/1957	Robertson KED	Social Credit	1204	0	
Waitaki	11/30/1957	Hayman TL	National	7942	1	
Waitaki	11/30/1957	Braddick AG	Labour	6324	0	
Waitaki	11/30/1957	Hayes MJ	Social Credit	990	0	
Waitemata	11/30/1957	King NJ	Labour	8771	1	
Waitemata	11/30/1957	Muldoon RD	National	6580	0	
Waitemata	11/30/1957	Jordan BA	Social Credit	1036	0	
Waitomo	11/30/1957	Seath DC	National	7042	1	
Waitomo	11/30/1957	Haines VC	Labour	4568	0	
Waitomo	11/30/1957	Mason TWH	Social Credit	1482	0	
Wallace	11/30/1957	Talboys BE	National	8266	1	
Wallace	11/30/1957	Reid JS	Labour	3947	0	
Wallace	11/30/1957	Stack JP	Social Credit	919	0	
Wellington Central	11/30/1957	Kitts FJ	Labour	8980	1	
Wellington Central	11/30/1957	Wall MH	National	7295	0	
Wellington Central	11/30/1957	Norris AH	Social Credit	699	0	
Western Maori	11/30/1957	Ratana IM	Labour	7076	1	
Western Maori	11/30/1957	Hurunui-Jones PT	National	1523	0	
Western Maori	11/30/1957	Awatene A	Social Credit	1171	0	
Western Maori	11/30/1957	Kaihau S	MAORI LAB	154	0	
Western Maori	11/30/1957	Te Hira TR	K	119	0	
Western Maori	11/30/1957	Patara TJV	IR	111	0	
Westland	11/30/1957	Kent JB	Labour	9159	1	
Westland	11/30/1957	Boustridge FF	National	4414	0	
Westland	11/30/1957	Fraser IM	Social Credit	790	0	
Westland	11/30/1957	McEwen B	C	124	0	
Whanganui	11/30/1957	Cotterill JBF	Labour	6550	1	
Whanganui	11/30/1957	MacLean AK	National	5131	0	
Whanganui	11/30/1957	Marks ROC	Social Credit	3378	0	
Hamilton	5/2/1959	Adams-Schneider LR	National	7832	1	
Hamilton	5/2/1959	Waters EA	Labour	4844	0	
Hamilton	5/2/1959	Roberts FC	Social Credit	852	0	
Ashburton	11/26/1960	Gerard RG	National	8094	1	
Ashburton	11/26/1960	Glassey G	Labour	5536	0	
Ashburton	11/26/1960	Hayes MJ	Social Credit	948	0	
Auckland Central	11/26/1960	Douglas NV	Labour	6915	1	
Auckland Central	11/26/1960	Presland RJ	National	5069	0	
Auckland Central	11/26/1960	Liddle LB	Social Credit	586	0	
Auckland Central	11/26/1960	McAra PWG	C	164	0	
Avon	11/26/1960	Mathison J	Labour	8683	1	
Avon	11/26/1960	Pickering HEL	National	4467	0	
Avon	11/26/1960	Edmonds GM	Social Credit	1973	0	
Avon	11/26/1960	McNulty FE	C	126	0	
Awarua	11/26/1960	Grieve GG	National	7772	1	
Awarua	11/26/1960	Wyatt JP	Labour	4772	0	
Awarua	11/26/1960	McNaughton D	Social Credit	1117	0	
Bay of Plenty	11/26/1960	Allen PB	National	6920	1	
Bay of Plenty	11/26/1960	Riden PE	Labour	4509	0	
Bay of Plenty	11/26/1960	Knox AE	Social Credit	1334	0	
Buller	11/26/1960	Skinner CF	Labour	6380	1	
Buller	11/26/1960	King EW	National	4834	0	
Buller	11/26/1960	Matthews PH	Social Credit	1984	0	
Buller	11/26/1960	Bergh OG	I	210	0	
Christchurch Central	11/26/1960	MacFarlane RM	Labour	6786	1	
Christchurch Central	11/26/1960	Flint TD	National	4851	0	
Christchurch Central	11/26/1960	Green W	Social Credit	851	0	
Christchurch Central	11/26/1960	Locke JC	C	133	0	
Clutha	11/26/1960	Gordon JB	National	8175	1	
Clutha	11/26/1960	Fahey J	Labour	4312	0	
Clutha	11/26/1960	Lumsden AJ	Social Credit	1166	0	
Dunedin Central	11/26/1960	Connolly PG	Labour	7175	1	
Dunedin Central	11/26/1960	Scurr ND	National	6333	0	
Dunedin Central	11/26/1960	Aberdeen C	Social Credit	951	0	
Dunedin Central	11/26/1960	Taylor WMcC	I	471	0	
Dunedin North	11/26/1960	McMillan EE	Labour	7645	1	
Dunedin North	11/26/1960	Bell MB	National	5170	0	
Dunedin North	11/26/1960	Goddard GW	Social Credit	1265	0	
Dunedin North	11/26/1960	Hunter EW	C	73	0	
Eastern Maori	11/26/1960	Omana T	Labour	5809	1	
Eastern Maori	11/26/1960	Reedy HT	Social Credit	2784	0	
Eastern Maori	11/26/1960	Vercoe HR	National	2496	0	
Eastern Maori	11/26/1960	Carter M	I MM	191	0	
Eden	11/26/1960	Rae J	National	8632	1	
Eden	11/26/1960	Penney RG	Labour	6730	0	
Eden	11/26/1960	Grove AG	Social Credit	556	0	
Egmont	11/26/1960	Sheat WA	National	7128	1	
Egmont	11/26/1960	Watson JW	Labour	3195	0	
Egmont	11/26/1960	Smith WM	Social Credit	2209	0	
Fendalton	11/26/1960	Lake HR	National	9500	1	
Fendalton	11/26/1960	Rowling WE	Labour	6778	0	
Fendalton	11/26/1960	Forster JJ	Social Credit	826	0	
Franklin	11/26/1960	Allen AE	National	9442	1	
Franklin	11/26/1960	Preston HT	Labour	4245	0	
Franklin	11/26/1960	Wheeler TA	Social Credit	1219	0	
Gisborne	11/26/1960	Tombleson EI	National	7284	1	
Gisborne	11/26/1960	Keeling RA	Labour	6993	0	
Gisborne	11/26/1960	Box AF	Social Credit	994	0	
Grey Lynn	11/26/1960	Hackett F	Labour	8761	1	
Grey Lynn	11/26/1960	Zouch BT	National	4165	0	
Grey Lynn	11/26/1960	Morley FT	Social Credit	693	0	
Grey Lynn	11/26/1960	Wolf RC	C	117	0	
Hamilton	11/26/1960	Adams-Schneider LR	National	8222	1	
Hamilton	11/26/1960	Arthur Basil	Labour	5639	0	
Hamilton	11/26/1960	Bethune DRP	Social Credit	1117	0	
Hastings	11/26/1960	MacIntyre D	National	7965	1	
Hastings	11/26/1960	Keating EJ	Labour	7665	0	
Hastings	11/26/1960	Thew G	Social Credit	1302	0	
Hauraki	11/26/1960	Kinsella AE	National	7401	1	
Hauraki	11/26/1960	Tucker AC	Labour	4776	0	
Hauraki	11/26/1960	Donovan WA	Social Credit	1611	0	
Hawkes Bay	11/26/1960	Harker CGE	National	7508	1	
Hawkes Bay	11/26/1960	Woolf JG	Labour	3826	0	
Hawkes Bay	11/26/1960	Bullock A	Social Credit	1110	0	
Hawkes Bay	11/26/1960	Cheer RE	I	263	0	
Heretaunga	11/26/1960	Bailey RL	Labour	8265	1	
Heretaunga	11/26/1960	Hampson-Tindale VE	National	5689	0	
Heretaunga	11/26/1960	Wall AR	Social Credit	1360	0	
Hobson	11/26/1960	Sloane LF	National	6406	1	
Hobson	11/26/1960	Cracknell VF	Social Credit	5005	0	
Hobson	11/26/1960	Webber GT	Labour	2335	0	
Hurunui	11/26/1960	Gillespie WH	National	8307	1	
Hurunui	11/26/1960	Adcock AA	Labour	5576	0	
Hurunui	11/26/1960	Clark J	Social Credit	1180	0	
Hutt	11/26/1960	Nash W	Labour	7614	1	
Hutt	11/26/1960	Barker GL	National	5265	0	
Hutt	11/26/1960	Milne DS	Social Credit	997	0	
Hutt	11/26/1960	Wain G	I	115	0	
Hutt	11/26/1960	Hegman RG	C	40	0	
Invercargill	11/26/1960	Hanan JR	National	8128	1	
Invercargill	11/26/1960	Henderson OJ	Labour	6202	0	
Invercargill	11/26/1960	Steele DL	Social Credit	624	0	
Island Bay	11/26/1960	Nordmeyer AH	Labour	7459	1	
Island Bay	11/26/1960	Curry FF	National	5668	0	
Island Bay	11/26/1960	Cameron JA	Social Credit	748	0	
Island Bay	11/26/1960	Smith RJ	c	128	0	
Karori	11/26/1960	Marshall JR	National	9841	1	
Karori	11/26/1960	Smuts-Kennedy OE	Labour	5528	0	
Karori	11/26/1960	Wild DEC	Social Credit	505	0	
Lyttelton	11/26/1960	Kirk NE	Labour	7910	1	
Lyttelton	11/26/1960	Hay JB	National	7650	0	
Lyttelton	11/26/1960	Munnings C	Social Credit	1040	0	
Manawatu	11/26/1960	Tennent WB	National	7716	1	
Manawatu	11/26/1960	Fischer LT	Labour	4596	0	
Manawatu	11/26/1960	O'Brien JB	Social Credit	2068	0	
Manukau	11/26/1960	Gotz Leon	National	9723	1	
Manukau	11/26/1960	Stamp CD	Labour	9478	0	
Manukau	11/26/1960	Higham TWG	Social Credit	778	0	
Marlborough	11/26/1960	Shand TP	National	7424	1	
Marlborough	11/26/1960	Hope RW	Labour	5677	0	
Marlborough	11/26/1960	Kerr GR	Social Credit	1680	0	
Marsden	11/26/1960	McKay DM	National	8704	1	
Marsden	11/26/1960	Reid JS	Labour	4353	0	
Marsden	11/26/1960	McQuillan RA	Social Credit	2132	0	
Miramar	11/26/1960	Fox WA	Labour	7186	1	
Miramar	11/26/1960	Lyons BL	National	6719	0	
Miramar	11/26/1960	Johnson RW	Social Credit	893	0	
Mornington	11/26/1960	Hudson WA	Labour	7635	1	
Mornington	11/26/1960	Thorn GR	National	5389	0	
Mornington	11/26/1960	Milburn JO	Social Credit	1548	0	
Mornington	11/26/1960	Marston JL	C	70	0	
Mt Albert	11/26/1960	Freer WW	Labour	7905	1	
Mt Albert	11/26/1960	Anderson CM	National	6229	0	
Mt Albert	11/26/1960	Monteith NR	Social Credit	690	0	
Mt Albert	11/26/1960	Pitcher L	U	34	0	
Napier	11/26/1960	Edwards JG	Labour	8838	1	
Napier	11/26/1960	Gunn WJ	National	7533	0	
Napier	11/26/1960	Frampton AE	Social Credit	874	0	
Nelson	11/26/1960	Whitehead SA	Labour	8519	1	
Nelson	11/26/1960	Martin CW	National	6752	0	
Nelson	11/26/1960	Mahan AH	Social Credit	1223	0	
New Plymouth	11/26/1960	Aderman EP	National	9063	1	
New Plymouth	11/26/1960	Barclay RM	Labour	7370	0	
New Plymouth	11/26/1960	Lattimer KGJ	Social Credit	1068	0	
North Shore	11/26/1960	Eyre DJ	National	8727	1	
North Shore	11/26/1960	Smith PL	Labour	6910	0	
North Shore	11/26/1960	Richards AHE	Social Credit	431	0	
North Shore	11/26/1960	Holloway BV	I	97	0	
Northern Maori	11/26/1960	Paikea TP.	Labour	5454	1	
Northern Maori	11/26/1960	Harrison GR	National	2082	0	
Northern Maori	11/26/1960	Clarke W	Social Credit	1437	0	
Onehunga	11/26/1960	Watt H	Labour	8785	1	
Onehunga	11/26/1960	Phillips PB	National	4080	0	
Onehunga	11/26/1960	Leitch JC	Social Credit	534	0	
Onehunga	11/26/1960	McEwan D	C	97	0	
Onslow	11/26/1960	May HLJ	Labour	8670	1	
Onslow	11/26/1960	Clark MJ	National	7880	0	
Onslow	11/26/1960	Elliott EB	Social Credit	920	0	
Onslow	11/26/1960	Smith SE	C	101	0	
Otago	11/26/1960	George JH	National	7320	1	
Otago	11/26/1960	MacDonell BP	Labour	2976	0	
Otago	11/26/1960	Jones GI	Social Credit	1372	0	
Otahuhu	11/26/1960	Deas JM	Labour	9247	1	
Otahuhu	11/26/1960	Tucker TJL	National	6473	0	
Otahuhu	11/26/1960	Donovan AR	Social Credit	622	0	
Otahuhu	11/26/1960	Hieatt SH	C	114	0	
Otaki	11/26/1960	McCready A	National	8938	1	
Otaki	11/26/1960	Cameron TW	Labour	6894	0	
Otaki	11/26/1960	Clunie GT	Social Credit	1758	0	
Pahiatua	11/26/1960	Holyoake KJ	National	8111	1	
Pahiatua	11/26/1960	McKane KDT	Labour	3177	0	
Pahiatua	11/26/1960	Dempsey PJ	Social Credit	1298	0	
Palmerston North	11/26/1960	Brown WH	National	7401	1	
Palmerston North	11/26/1960	Skoglund POS	Labour	7268	0	
Palmerston North	11/26/1960	Gunn RM	Social Credit	1186	0	
Palmerston North	11/26/1960	Manning FW	C	79	0	
Patea	11/26/1960	Jack RE	National	6420	1	
Patea	11/26/1960	Vallely DC	Labour	4116	0	
Patea	11/26/1960	Mullins TG	Social Credit	2076	0	
Petone	11/26/1960	Moohan M	Labour	8738	1	
Petone	11/26/1960	Martin RM	National	5820	0	
Petone	11/26/1960	Long DG	Social Credit	1052	0	
Piako	11/26/1960	Goosman WS	National	8500	1	
Piako	11/26/1960	Uttinger HJ	Labour	3124	0	
Piako	11/26/1960	Barrowclough ME	Social Credit	1555	0	
Ponsonby	11/26/1960	MacDonald RL	Labour	9138	1	
Ponsonby	11/26/1960	McLaughlan NF	National	4394	0	
Ponsonby	11/26/1960	Ross WA	Social Credit	612	0	
Ponsonby	11/26/1960	Jackson GE	C	361	0	
Raglan	11/26/1960	Carter DJ	National	6919	1	
Raglan	11/26/1960	Baxter AC	Labour	5548	0	
Raglan	11/26/1960	Thompson SM	Social Credit	720	0	
Raglan	11/26/1960	Christie WE	I	101	0	
Rangitikei	11/26/1960	Shelton NL	National	7701	1	
Rangitikei	11/26/1960	Cameron SA	Labour	3812	0	
Rangitikei	11/26/1960	Needham FM	Social Credit	1894	0	
Remuera	11/26/1960	Algie RM	National	10212	1	
Remuera	11/26/1960	Gustafson BS	Labour	4103	0	
Remuera	11/26/1960	Morley M	Social Credit	692	0	
Riccarton	11/26/1960	Connelly MA	Labour	8342	1	
Riccarton	11/26/1960	Sergei DV	National	6320	0	
Riccarton	11/26/1960	Cullen CE	Social Credit	1019	0	
Rodney	11/26/1960	Scott WJ	National	7728	1	
Rodney	11/26/1960	Amos PA	Labour	3571	0	
Rodney	11/26/1960	Hunter GD	Social Credit	2150	0	
Roskill	11/26/1960	Faulkner AJ	Labour	8141	1	
Roskill	11/26/1960	Taylor GGP	National	6767	0	
Roskill	11/26/1960	Langstone FL	Social Credit	575	0	
Roskill	11/26/1960	Ayo E	C	68	0	
Rotorua	11/26/1960	Lapwood HR	National	7831	1	
Rotorua	11/26/1960	Boord AR	Labour	7473	0	
Rotorua	11/26/1960	Tunnicliffe CR	Social Credit	1416	0	
Selwyn	11/26/1960	McAlpine JK	National	8096	1	
Selwyn	11/26/1960	Palmer J	Labour	5257	0	
Selwyn	11/26/1960	Morton RH	Social Credit	1042	0	
Southern Maori	11/26/1960	Tirikatene Eruera	Labour	5132	1	
Southern Maori	11/26/1960	Tutaki NW	National	1185	0	
Southern Maori	11/26/1960	Niania ME	Social Credit	474	0	
St Albans	11/26/1960	Walker HJ	National	7809	1	
St Albans	11/26/1960	Pickering NG	Labour	7511	0	
St Albans	11/26/1960	Lynne GR	Social Credit	746	0	
St Kilda	11/26/1960	Fraser WA	Labour	7662	1	
St Kilda	11/26/1960	Barnes JG	National	6827	0	
St Kilda	11/26/1960	Greenwood TA	Social Credit	1169	0	
Stratford	11/26/1960	Murray TT	National	7638	1	
Stratford	11/26/1960	St George HM	Labour	3250	0	
Stratford	11/26/1960	Tuffery LB	Social Credit	1936	0	
Sydenham	11/26/1960	Howard MB	Labour	8827	1	
Sydenham	11/26/1960	Quigley DF	National	4034	0	
Sydenham	11/26/1960	Pounsford JE	Social Credit	1225	0	
Tamaki	11/26/1960	Muldoon RD	National	8728	1	
Tamaki	11/26/1960	Tizard RJ	Labour	7580	0	
Tamaki	11/26/1960	McGowan EE	Social Credit	352	0	
Tamaki	11/26/1960	Smith RC	C	77	0	
Tauranga	11/26/1960	Walsh GA	National	9120	1	
Tauranga	11/26/1960	Goodfellow DC	Labour	3881	0	
Tauranga	11/26/1960	Young RG	Social Credit	2563	0	
Timaru	11/26/1960	Carr CL	Labour	7617	1	
Timaru	11/26/1960	White RE	National	7260	0	
Timaru	11/26/1960	Isitt FC	Social Credit	542	0	
Timaru	11/26/1960	Rae JR	PPI	90	0	
Waikato	11/26/1960	Sim GF	National	7403	1	
Waikato	11/26/1960	Ingram AJ	Labour	4362	0	
Waikato	11/26/1960	Pemberton RF	Social Credit	1192	0	
Waipa	11/26/1960	Johnstone H	National	8544	1	
Waipa	11/26/1960	Reese RD	Labour	5303	0	
Waipa	11/26/1960	Bennett TWO	Social Credit	1795	0	
Wairarapa	11/26/1960	Cooksley BV	National	7887	1	
Wairarapa	11/26/1960	Goldsmith AG	Labour	5799	0	
Wairarapa	11/26/1960	Crawford REC	Social Credit	1450	0	
Waitakere	11/26/1960	Mason HGR	Labour	10680	1	
Waitakere	11/26/1960	Wilkinson JH	National	6971	0	
Waitakere	11/26/1960	Robertson KED	Social Credit	1239	0	
Waitakere	11/26/1960	Wilcox VG	C	201	0	
Waitaki	11/26/1960	Hayman TL	National	8492	1	
Waitaki	11/26/1960	McKay LJ	Labour	6520	0	
Waitaki	11/26/1960	Barwood AW	Social Credit	1358	0	
Waitemata	11/26/1960	King NJ	Labour	9241	1	
Waitemata	11/26/1960	Firth JR	National	7992	0	
Waitemata	11/26/1960	Jordan BA	Social Credit	1174	0	
Waitemata	11/26/1960	McLeod HJ	C	139	0	
Waitomo	11/26/1960	Seath DC	National	7494	1	
Waitomo	11/26/1960	McLaren DB	Labour	3543	0	
Waitomo	11/26/1960	Mason TWH	Social Credit	1623	0	
Wallace	11/26/1960	Talboys BE	National	8786	1	
Wallace	11/26/1960	Harris E	Labour	3050	0	
Wallace	11/26/1960	Stack JP	Social Credit	990	0	
Wellington Central	11/26/1960	Riddiford DJ	National	7373	1	
Wellington Central	11/26/1960	Kitts FJ	Labour	6992	0	
Wellington Central	11/26/1960	Norris AH	Social Credit	526	0	
Wellington Central	11/26/1960	Stanton KSC	C	127	0	
Western Maori	11/26/1960	Ratana IM	Labour	6695	1	
Western Maori	11/26/1960	Hurunui-Jones PT	National	2029	0	
Western Maori	11/26/1960	Tuwhangai H	Social Credit	874	0	
Western Maori	11/26/1960	Rakana TeHM	K	378	0	
Westland	11/26/1960	Blanchfield P	Labour	8153	1	
Westland	11/26/1960	Hogg DA	National	4309	0	
Westland	11/26/1960	Fraser IM	Social Credit	1175	0	
Westland	11/26/1960	Mitchell RH	C	208	0	
Whanganui	11/26/1960	Spooner GA	Labour	6071	1	
Whanganui	11/26/1960	Crotty EJ	National	5911	0	
Whanganui	11/26/1960	Marks ROC	Social Credit	3132	0	
Hurunui	6/10/1961	Pickering HEL	National	6644	1	
Hurunui	6/10/1961	Adcock AA	Labour	4760	0	
Hurunui	6/10/1961	Clark J	Social Credit	1153	0	
Waitaki	3/10/1962	Dick AD	National	6359	1	
Waitaki	3/10/1962	Arthur Basil	Labour	5957	0	
Waitaki	3/10/1962	Barwood AW	Social Credit	1664	0	
Buller	7/7/1962	Rowling WE	Labour	5242	1	
Buller	7/7/1962	King EW	National	4846	0	
Buller	7/7/1962	Matthews PH	Social Credit	1566	0	
Timaru	7/21/1962	Arthur Basil	Labour	7578	1	
Timaru	7/21/1962	Quigley DF	National	6271	0	
Timaru	7/21/1962	Hayes MJ	Social Credit	572	0	
Northern Maori	3/16/1963	Rata M	Labour	3090	1	
Northern Maori	3/16/1963	Henare JCT	National	2643	0	
Northern Maori	3/16/1963	Pou EM	LU	562	0	
Northern Maori	3/16/1963	Clarke W	Social Credit	340	0	
Northern Maori	3/16/1963	Hui TK	IL	268	0	
Northern Maori	3/16/1963	Cooper W	I	257	0	
Northern Maori	3/16/1963	Toka PH	LU	143	0	
Northern Maori	3/16/1963	Mokaraka HT	I	25	0	
Northern Maori	3/16/1963	Peita HK	K	22	0	
Otahuhu	3/16/1963	Tizard RJ	Labour	6108	1	
Otahuhu	3/16/1963	Tucker TJL	National	3450	0	
Otahuhu	3/16/1963	Hieatt SH	C	125	0	
Grey Lynn	5/18/1963	Keeling RA	Labour	4172	1	
Grey Lynn	5/18/1963	Presland RJ	National	1791	0	
Grey Lynn	5/18/1963	Ross WA	Social Credit	246	0	
Grey Lynn	5/18/1963	Jackson GE	C	128	0	
Ashburton	11/30/1963	Gerard RG	National	8986	1	
Ashburton	11/30/1963	Braddick AG	Labour	5567	0	
Ashburton	11/30/1963	Barwood AG	Social Credit	1552	0	
Auckland Central	11/30/1963	Douglas NV	Labour	7727	1	
Auckland Central	11/30/1963	Steven WJ	National	4500	0	
Auckland Central	11/30/1963	Rickard M	Social Credit	563	0	
Auckland Central	11/30/1963	Hannay DA	LIB	273	0	
Auckland Central	11/30/1963	Wolf RC	C	155	0	
Avon	11/30/1963	Mathison J	Labour	9095	1	
Avon	11/30/1963	Dodwell SL	National	3978	0	
Avon	11/30/1963	Parking H	Social Credit	1544	0	
Avon	11/30/1963	Blacklock R	C	145	0	
Awarua	11/30/1963	Grieve GG	National	7869	1	
Awarua	11/30/1963	Valentine LN	Labour	4496	0	
Awarua	11/30/1963	McNaughton D	Social Credit	1194	0	
Awarua	11/30/1963	Egerton RJ	LIB	691	0	
Bay of Plenty	11/30/1963	Allen PB	National	7606	1	
Bay of Plenty	11/30/1963	Riden PE	Labour	4581	0	
Bay of Plenty	11/30/1963	Knox AE	Social Credit	1529	0	
Buller	11/30/1963	Rowling WE	Labour	7338	1	
Buller	11/30/1963	King EW	National	5667	0	
Buller	11/30/1963	Wells E	Social Credit	1033	0	
Christchurch Central	11/30/1963	MacFarlane RM	Labour	7552	1	
Christchurch Central	11/30/1963	Patchett DJ	National	5637	0	
Christchurch Central	11/30/1963	Thomson LW	Social Credit	1084	0	
Christchurch Central	11/30/1963	Locke JC	C	183	0	
Clutha	11/30/1963	Gordon JB	National	8470	1	
Clutha	11/30/1963	McKay LJ	Labour	4875	0	
Clutha	11/30/1963	Murphy CJ	Social Credit	1260	0	
Dunedin Central	11/30/1963	MacDonell BP	Labour	7639	1	
Dunedin Central	11/30/1963	Thorn GR	National	6469	0	
Dunedin Central	11/30/1963	Aberdeen C	Social Credit	1499	0	
Dunedin Central	11/30/1963	Marston JL	C	96	0	
Dunedin North	11/30/1963	McMillan EE	Labour	8566	1	
Dunedin North	11/30/1963	Whittleston E	National	6042	0	
Dunedin North	11/30/1963	Goddard GW	Social Credit	1370	0	
Dunedin North	11/30/1963	Hunter EW	C	116	0	
Eastern Maori	11/30/1963	Watene PT	Labour	6775	1	
Eastern Maori	11/30/1963	Reedy HT	National	4209	0	
Eastern Maori	11/30/1963	Smith RW	Social Credit	741	0	
Eastern Maori	11/30/1963	Raukopa BA	IK	230	0	
Eastern Maori	11/30/1963	Baker PH	IM	157	0	
Eastern Maori	11/30/1963	Rangi R	LIB	112	0	
Eastern Maori	11/30/1963	Sadler MW	ISC	92	0	
Eden	11/30/1963	Rae J	National	8887	1	
Eden	11/30/1963	Knipe FB	Labour	5552	0	
Eden	11/30/1963	Grove AG	Social Credit	632	0	
Eden	11/30/1963	Rayner WW	LIB	323	0	
Egmont	11/30/1963	Sheat WA	National	7102	1	
Egmont	11/30/1963	Seddon JB	Labour	4055	0	
Egmont	11/30/1963	Smith WM	Social Credit	2144	0	
Fendalton	11/30/1963	Lake HR	National	9329	1	
Fendalton	11/30/1963	Barclay BG	Labour	6589	0	
Fendalton	11/30/1963	Collins WJ	C	145	0	
Franklin	11/30/1963	Allen AE	National	8690	1	
Franklin	11/30/1963	Waishing R	Labour	2841	0	
Franklin	11/30/1963	Wheeler TA	Social Credit	1646	0	
Gisborne	11/30/1963	Tombleson EI	National	8018	1	
Gisborne	11/30/1963	MacDonald R	Labour	7116	0	
Gisborne	11/30/1963	Box AF	Social Credit	695	0	
Grey Lynn	11/30/1963	MacDonald RL	Labour	9838	1	
Grey Lynn	11/30/1963	Firth JR	National	4598	0	
Grey Lynn	11/30/1963	Ross WA	Social Credit	885	0	
Grey Lynn	11/30/1963	Jackson GE	C	264	0	
Hamilton	11/30/1963	Adams-Schneider LR	National	8468	1	
Hamilton	11/30/1963	Cairns JM	Labour	5826	0	
Hamilton	11/30/1963	Bethune DRP	Social Credit	917	0	
Hamilton	11/30/1963	Bunting NW	LIB	424	0	
Hastings	11/30/1963	MacIntyre D	National	8719	1	
Hastings	11/30/1963	Keating EJ	Labour	6775	0	
Hastings	11/30/1963	Thew G	Social Credit	978	0	
Hauraki	11/30/1963	Kinsella AE	National	7217	1	
Hauraki	11/30/1963	Broad GL	Labour	4344	0	
Hauraki	11/30/1963	Mackey RS	Social Credit	1999	0	
Hauraki	11/30/1963	Emeny C	LIB	520	0	
Hawkes Bay	11/30/1963	Harrison JR	National	7714	1	
Hawkes Bay	11/30/1963	Woolf JG	Labour	4196	0	
Hawkes Bay	11/30/1963	Bullock A	Social Credit	1273	0	
Hawkes Bay	11/30/1963	Cheer RE	I	249	0	
Heretaunga	11/30/1963	Bailey RL	Labour	8186	1	
Heretaunga	11/30/1963	Kimmins RO	National	6051	0	
Heretaunga	11/30/1963	Lonsich RC	Social Credit	1106	0	
Hobson	11/30/1963	Sloane LF	National	6207	1	
Hobson	11/30/1963	Cracknell VF	Social Credit	6176	0	
Hobson	11/30/1963	Srhoj M	Labour	1540	0	
Hutt	11/30/1963	Nash W	Labour	8865	1	
Hutt	11/30/1963	Hampson-Tindale VE	National	5217	0	
Hutt	11/30/1963	Milne DS	Social Credit	973	0	
Hutt	11/30/1963	Hunes R	C	70	0	
Invercargill	11/30/1963	Hanan JR	National	7879	1	
Invercargill	11/30/1963	Henderson OJ	Labour	5945	0	
